Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
13,Sat,1999-10-30,,Wimbledon,1-1,Southampton,,,Stephen Lodge,Match Report,
13,Sat,1999-10-30,,Leeds United,1-0,West Ham,,,Graham Poll,Match Report,
13,Sat,1999-10-30,,Middlesbrough,2-1,Everton,,,Andy D'Urso,Match Report,
13,Sun,1999-10-31,,Sunderland,2-1,Tottenham,,,Mike Riley,Match Report,
13,Sun,1999-10-31,,Coventry City,4-0,Watford,,,Paul Durkin,Match Report,
13,Mon,1999-11-01,,Liverpool,3-1,Bradford City,,,Jeff Winter,Match Report,
14,Sat,1999-11-06,,Middlesbrough,1-1,Sunderland,,,Graham Barber,Match Report,
14,Sat,1999-11-06,,Bradford City,1-1,Coventry City,,,Barry Knight,Match Report,
14,Sat,1999-11-06,,Liverpool,2-0,Derby County,,,Uriah Rennie,Match Report,
14,Sat,1999-11-06,,Aston Villa,0-1,Southampton,,,Andy D'Urso,Match Report,
14,Sat,1999-11-06,,Manchester Utd,2-0,Leicester City,,,Paul Durkin,Match Report,
14,Sat,1999-11-06,,Sheffield Weds,2-2,Watford,,,Jeff Winter,Match Report,
14,Sun,1999-11-07,,Newcastle Utd,1-1,Everton,,,Mike Reed,Match Report,
14,Sun,1999-11-07,,Wimbledon,2-0,Leeds United,,,Peter Jones,Match Report,
14,Sun,1999-11-07,,Chelsea,0-0,West Ham,,,Mike Riley,Match Report,
14,Sun,1999-11-07,,Tottenham,2-1,Arsenal,,,David Elleray,Match Report,
15,Sat,1999-11-20,,Everton,1-1,Chelsea,,,Mark Halsey,Match Report,
15,Sat,1999-11-20,,Derby County,1-2,Manchester Utd,,,Mike Reed,Match Report,
15,Sat,1999-11-20,,Arsenal,5-1,Middlesbrough,,,Neale Barry,Match Report,
15,Sat,1999-11-20,,Sunderland,0-2,Liverpool,,,Dermot Gallagher,Match Report,
15,Sat,1999-11-20,,Southampton,0-1,Tottenham,,,Stephen Bennett,Match Report,
15,Sat,1999-11-20,,Watford,1-1,Newcastle Utd,,,Steve Dunn,Match Report,
15,Sat,1999-11-20,,Leicester City,2-1,Wimbledon,,,Alan Wiley,Match Report,
15,Sat,1999-11-20,,Leeds United,2-1,Bradford City,,,Paul Durkin,Match Report,
15,Sun,1999-11-21,,West Ham,4-3,Sheffield Weds,,,Alan Wilkie,Match Report,
15,Mon,1999-11-22,,Coventry City,2-1,Aston Villa,,,Graham Barber,Match Report,
16,Sat,1999-11-27,,Watford,2-3,Sunderland,,,Uriah Rennie,Match Report,
16,Sat,1999-11-27,,West Ham,1-0,Liverpool,,,Graham Barber,Match Report,
16,Sat,1999-11-27,,Coventry City,0-1,Leicester City,,,Stephen Lodge,Match Report,
16,Sat,1999-11-27,,Middlesbrough,0-0,Wimbledon,,,Paul Durkin,Match Report,
16,Sat,1999-11-27,,Everton,0-0,Aston Villa,,,Peter Jones,Match Report,
16,Sun,1999-11-28,,Leeds United,1-0,Southampton,,,Rob Harris,Match Report,
16,Sun,1999-11-28,,Arsenal,2-1,Derby County,,,Andy D'Urso,Match Report,
16,Sun,1999-11-28,,Newcastle Utd,2-1,Tottenham,,,Paul Alcock,Match Report,
16,Sun,1999-11-28,,Chelsea,1-0,Bradford City,,,Alan Wiley,Match Report,
17,Sat,1999-12-04,,Sunderland,4-1,Chelsea,,,Steve Dunn,Match Report,
17,Sat,1999-12-04,,Southampton,0-0,Coventry City,,,Jeff Winter,Match Report,
17,Sat,1999-12-04,,Aston Villa,0-1,Newcastle Utd,,,Mike Riley,Match Report,
17,Sat,1999-12-04,,Manchester Utd,5-1,Everton,,,Graham Poll,Match Report,
17,Sat,1999-12-04,,Leicester City,0-3,Arsenal,,,Dermot Gallagher,Match Report,
17,Sat,1999-12-04,,Bradford City,1-1,Middlesbrough,,,Rob Harris,Match Report,
17,Sat,1999-12-04,,Wimbledon,5-0,Watford,,,Alan Wiley,Match Report,
17,Sun,1999-12-05,,Liverpool,4-1,Sheffield Weds,,,Paul Durkin,Match Report,
17,Sun,1999-12-05,,Derby County,0-1,Leeds United,,,Paul Alcock,Match Report,
17,Mon,1999-12-06,,Tottenham,0-0,West Ham,,,Peter Jones,Match Report,
18,Sat,1999-12-18,,Arsenal,1-1,Wimbledon,,,Graham Barber,Match Report,
18,Sat,1999-12-18,,Sunderland,2-0,Southampton,,,Mike Reed,Match Report,
18,Sat,1999-12-18,,Leicester City,0-1,Derby County,,,David Elleray,Match Report,
18,Sat,1999-12-18,,Middlesbrough,2-1,Tottenham,,,Steve Dunn,Match Report,
18,Sat,1999-12-18,,Bradford City,2-0,Newcastle Utd,,,Neale Barry,Match Report,
18,Sat,1999-12-18,,Liverpool,2-0,Coventry City,,,Andy D'Urso,Match Report,
18,Sat,1999-12-18,,West Ham,2-4,Manchester Utd,,,Uriah Rennie,Match Report,
18,Sat,1999-12-18,,Watford,1-3,Everton,,,Alan Wilkie,Match Report,
18,Sat,1999-12-18,,Aston Villa,2-1,Sheffield Weds,,,Stephen Bennett,Match Report,
18,Sun,1999-12-19,,Chelsea,0-2,Leeds United,,,Jeff Winter,Match Report,
19,Sun,1999-12-26,,Sheffield Weds,1-0,Middlesbrough,,,Barry Knight,Match Report,
19,Sun,1999-12-26,,Everton,5-0,Sunderland,,,Stephen Lodge,Match Report,
19,Sun,1999-12-26,,Tottenham,4-0,Watford,,,Mike Reed,Match Report,
19,Sun,1999-12-26,,Newcastle Utd,2-2,Liverpool,,,David Elleray,Match Report,
19,Sun,1999-12-26,,Southampton,1-2,Chelsea,,,Paul Alcock,Match Report,
19,Sun,1999-12-26,,Derby County,0-2,Aston Villa,,,Alan Wilkie,Match Report,
19,Sun,1999-12-26,,Leeds United,2-1,Leicester City,,,Mark Halsey,Match Report,
19,Sun,1999-12-26,,Coventry City,3-2,Arsenal,,,Rob Harris,Match Report,
19,Sun,1999-12-26,,Manchester Utd,4-0,Bradford City,,,Peter Jones,Match Report,
19,Sun,1999-12-26,,Wimbledon,2-2,West Ham,,,Steve Dunn,Match Report,
20,Tue,1999-12-28,,Sunderland,2-2,Manchester Utd,,,Jeff Winter,Match Report,
20,Tue,1999-12-28,,West Ham,1-1,Derby County,,,Alan Wiley,Match Report,
20,Tue,1999-12-28,,Liverpool,3-1,Wimbledon,,,Neale Barry,Match Report,
20,Tue,1999-12-28,,Bradford City,0-0,Everton,,,Uriah Rennie,Match Report,
20,Tue,1999-12-28,,Watford,3-2,Southampton,,,Mike Riley,Match Report,
20,Tue,1999-12-28,,Leicester City,1-2,Newcastle Utd,,,Paul Durkin,Match Report,
20,Tue,1999-12-28,,Arsenal,2-0,Leeds United,,,Graham Poll,Match Report,
20,Wed,1999-12-29,,Aston Villa,1-1,Tottenham,,,Graham Barber,Match Report,
20,Wed,1999-12-29,,Chelsea,3-0,Sheffield Weds,,,Andy D'Urso,Match Report,
21,Mon,2000-01-03,,Leeds United,1-2,Aston Villa,,,Uriah Rennie,Match Report,
21,Mon,2000-01-03,,Tottenham,1-0,Liverpool,,,Alan Wilkie,Match Report,
21,Mon,2000-01-03,,Southampton,1-0,Bradford City,,,David Elleray,Match Report,
21,Mon,2000-01-03,,Sheffield Weds,1-1,Arsenal,,,Mike Reed,Match Report,
21,Mon,2000-01-03,,Everton,2-2,Leicester City,,,Jeff Winter,Match Report,
21,Mon,2000-01-03,,Wimbledon,1-0,Sunderland,,,Graham Poll,Match Report,
21,Mon,2000-01-03,,Newcastle Utd,2-2,West Ham,,,Rob Harris,Match Report,
21,Mon,2000-01-03,,Derby County,2-0,Watford,,,Barry Knight,Match Report,
21,Tue,2000-01-04,,Coventry City,2-2,Chelsea,,,Paul Durkin,Match Report,
2,Sat,2000-01-08,,Bradford City,1-1,Chelsea,,,Alan Wiley,Match Report,
5,Wed,2000-01-12,,Chelsea,1-0,Tottenham,,,Neale Barry,Match Report,
22,Sat,2000-01-15,,Middlesbrough,1-4,Derby County,,,Mark Halsey,Match Report,
22,Sat,2000-01-15,,Arsenal,4-1,Sunderland,,,Paul Alcock,Match Report,
22,Sat,2000-01-15,,Chelsea,1-1,Leicester City,,,Graham Barber,Match Report,
22,Sat,2000-01-15,,Watford,2-3,Liverpool,,,Stephen Lodge,Match Report,
22,Sat,2000-01-15,,Sheffield Weds,2-0,Bradford City,,,Jeff Winter,Match Report,
22,Sat,2000-01-15,,West Ham,1-1,Aston Villa,,,Graham Poll,Match Report,
22,Sat,2000-01-15,,Coventry City,2-0,Wimbledon,,,Stephen Bennett,Match Report,
22,Sat,2000-01-15,,Everton,2-2,Tottenham,,,Alan Wiley,Match Report,
22,Sun,2000-01-16,,Newcastle Utd,5-0,Southampton,,,Neale Barry,Match Report,
23,Sat,2000-01-22,,Bradford City,3-2,Watford,,,Paul Alcock,Match Report,
23,Sat,2000-01-22,,Tottenham,0-1,Sheffield Weds,,,Mike Riley,Match Report,
23,Sat,2000-01-22,,Aston Villa,0-0,Chelsea,,,Alan Wilkie,Match Report,
23,Sat,2000-01-22,,Wimbledon,2-0,Newcastle Utd,,,Dermot Gallagher,Match Report,
23,Sat,2000-01-22,,Derby County,0-0,Coventry City,,,Graham Barber,Match Report,
23,Sat,2000-01-22,,Liverpool,0-0,Middlesbrough,,,Steve Dunn,Match Report,
23,Sat,2000-01-22,,Southampton,2-0,Everton,,,Andy D'Urso,Match Report,
23,Sat,2000-01-22,,Leicester City,1-3,West Ham,,,David Elleray,Match Report,
23,Sun,2000-01-23,,Sunderland,1-2,Leeds United,,,Peter Jones,Match Report,
23,Mon,2000-01-24,,Manchester Utd,1-1,Arsenal,,,Paul Durkin,Match Report,
21,Sat,2000-01-29,,Manchester Utd,1-0,Middlesbrough,,,Andy D'Urso,Match Report,
16,Wed,2000-02-02,,Sheffield Weds,0-1,Manchester Utd,,,Steve Dunn,Match Report,
24,Sat,2000-02-05,,Wimbledon,0-3,Everton,,,Graham Barber,Match Report,
24,Sat,2000-02-05,,Liverpool,3-1,Leeds United,,,Mike Reed,Match Report,
24,Sat,2000-02-05,,Sunderland,2-2,Newcastle Utd,,,Dermot Gallagher,Match Report,
24,Sat,2000-02-05,,Tottenham,0-1,Chelsea,,,Graham Poll,Match Report,
24,Sat,2000-02-05,,Manchester Utd,3-2,Coventry City,,,Alan Wilkie,Match Report,
24,Sat,2000-02-05,,Derby County,3-3,Sheffield Weds,,,David Elleray,Match Report,
24,Sat,2000-02-05,,Aston Villa,4-0,Watford,,,Peter Jones,Match Report,
24,Sat,2000-02-05,,Leicester City,2-1,Middlesbrough,,,Stephen Bennett,Match Report,
24,Sat,2000-02-05,,Bradford City,2-1,Arsenal,,,Andy D'Urso,Match Report,
24,Sat,2000-02-05,,Southampton,2-1,West Ham,,,Barry Knight,Match Report,
25,Sat,2000-02-12,,Newcastle Utd,3-0,Manchester Utd,,,Stephen Lodge,Match Report,
25,Sat,2000-02-12,,Leeds United,1-0,Tottenham,,,Dermot Gallagher,Match Report,
25,Sat,2000-02-12,,West Ham,5-4,Bradford City,,,Neale Barry,Match Report,
25,Sat,2000-02-12,,Watford,1-1,Leicester City,,,Andy D'Urso,Match Report,
25,Sat,2000-02-12,,Chelsea,3-1,Wimbledon,,,Peter Jones,Match Report,
25,Sat,2000-02-12,,Coventry City,3-2,Sunderland,,,Paul Alcock,Match Report,
25,Sat,2000-02-12,,Everton,2-1,Derby County,,,Uriah Rennie,Match Report,
25,Sat,2000-02-12,,Sheffield Weds,0-1,Southampton,,,Alan Wiley,Match Report,
25,Sun,2000-02-13,,Arsenal,0-1,Liverpool,,,Steve Dunn,Match Report,
25,Mon,2000-02-14,,Middlesbrough,0-4,Aston Villa,,,Alan Wilkie,Match Report,
20,Sat,2000-02-19,,Middlesbrough,2-0,Coventry City,,,Graham Barber,Match Report,
22,Sun,2000-02-20,,Leeds United,0-1,Manchester Utd,,,Peter Jones,Match Report,
26,Sat,2000-02-26,,Sheffield Weds,0-2,Newcastle Utd,,,Mike Riley,Match Report,
26,Sat,2000-02-26,,Sunderland,1-1,Derby County,,,Alan Wiley,Match Report,
26,Sat,2000-02-26,,Wimbledon,2-2,Manchester Utd,,,David Elleray,Match Report,
26,Sat,2000-02-26,,West Ham,0-4,Everton,,,Paul Alcock,Match Report,
26,Sat,2000-02-26,,Chelsea,2-1,Watford,,,Steve Dunn,Match Report,
26,Sat,2000-02-26,,Middlesbrough,0-0,Leeds United,,,Uriah Rennie,Match Report,
26,Sat,2000-02-26,,Coventry City,0-1,Tottenham,,,Paul Durkin,Match Report,
26,Sat,2000-02-26,,Arsenal,3-1,Southampton,,,Jeff Winter,Match Report,
26,Sat,2000-02-26,,Bradford City,1-1,Aston Villa,,,Mark Halsey,Match Report,
27,Sat,2000-03-04,,Newcastle Utd,0-1,Chelsea,,,Mike Riley,Match Report,
27,Sat,2000-03-04,,Derby County,4-0,Wimbledon,,,Andy D'Urso,Match Report,
27,Sat,2000-03-04,,Everton,1-1,Sheffield Weds,,,Graham Barber,Match Report,
27,Sat,2000-03-04,,Watford,1-2,West Ham,,,Mike Reed,Match Report,
27,Sat,2000-03-04,,Tottenham,1-1,Bradford City,,,Peter Jones,Match Report,
27,Sat,2000-03-04,,Manchester Utd,1-1,Liverpool,,,Dermot Gallagher,Match Report,
27,Sat,2000-03-04,,Southampton,1-1,Middlesbrough,,,Steve Dunn,Match Report,
27,Sun,2000-03-05,,Leeds United,3-0,Coventry City,,,Jeff Winter,Match Report,
27,Sun,2000-03-05,,Leicester City,5-2,Sunderland,,,Neale Barry,Match Report,
27,Sun,2000-03-05,,Aston Villa,1-1,Arsenal,,,Graham Poll,Match Report,
5,Wed,2000-03-08,,West Ham,2-0,Southampton,,,Stephen Lodge,Match Report,
28,Sat,2000-03-11,,Wimbledon,2-1,Leicester City,,,Paul Alcock,Match Report,
28,Sat,2000-03-11,,Aston Villa,1-0,Coventry City,,,Uriah Rennie,Match Report,
28,Sat,2000-03-11,,Chelsea,1-1,Everton,,,David Elleray,Match Report,
28,Sat,2000-03-11,,Manchester Utd,3-1,Derby County,,,Jeff Winter,Match Report,
28,Sat,2000-03-11,,Tottenham,7-2,Southampton,,,Mark Halsey,Match Report,
28,Sat,2000-03-11,,Sheffield Weds,3-1,West Ham,,,Peter Jones,Match Report,
28,Sat,2000-03-11,,Newcastle Utd,1-0,Watford,,,Alan Wiley,Match Report,
28,Sat,2000-03-11,,Liverpool,1-1,Sunderland,,,Graham Poll,Match Report,
28,Sun,2000-03-12,,Bradford City,1-2,Leeds United,,,Paul Durkin,Match Report,
28,Sun,2000-03-12,,Middlesbrough,2-1,Arsenal,,,Rob Harris,Match Report,
35,Wed,2000-03-15,,Liverpool,0-0,Aston Villa,,,Stephen Bennett,Match Report,
35,Wed,2000-03-15,,Coventry City,1-0,Everton,,,Mark Halsey,Match Report,
29,Sat,2000-03-18,,Southampton,2-0,Aston Villa,,,Mike Riley,Match Report,
29,Sat,2000-03-18,,West Ham,0-0,Chelsea,,,Steve Dunn,Match Report,
29,Sat,2000-03-18,,Leicester City,0-2,Manchester Utd,,,Rob Harris,Match Report,
29,Sat,2000-03-18,,Coventry City,4-0,Bradford City,,,Stephen Lodge,Match Report,
29,Sat,2000-03-18,,Sunderland,1-1,Middlesbrough,,,David Elleray,Match Report,
29,Sat,2000-03-18,,Watford,1-0,Sheffield Weds,,,Neale Barry,Match Report,
29,Sat,2000-03-18,,Derby County,0-2,Liverpool,,,Barry Knight,Match Report,
29,Sun,2000-03-19,,Arsenal,2-1,Tottenham,,,Paul Durkin,Match Report,
29,Sun,2000-03-19,,Leeds United,4-1,Wimbledon,,,Alan Wiley,Match Report,
29,Sun,2000-03-19,,Everton,0-2,Newcastle Utd,,,Graham Barber,Match Report,
30,Sat,2000-03-25,,Sunderland,2-1,Everton,,,Stephen Bennett,Match Report,
30,Sat,2000-03-25,,Bradford City,0-4,Manchester Utd,,,Graham Poll,Match Report,
30,Sat,2000-03-25,,Liverpool,2-1,Newcastle Utd,,,Paul Durkin,Match Report,
30,Sat,2000-03-25,,Middlesbrough,1-0,Sheffield Weds,,,Andy D'Urso,Match Report,
30,Sat,2000-03-25,,Chelsea,1-1,Southampton,,,Dermot Gallagher,Match Report,
30,Sat,2000-03-25,,Aston Villa,2-0,Derby County,,,Paul Alcock,Match Report,
30,Sat,2000-03-25,,Watford,1-1,Tottenham,,,Uriah Rennie,Match Report,
30,Sun,2000-03-26,,Leicester City,2-1,Leeds United,,,Stephen Lodge,Match Report,
30,Sun,2000-03-26,,Arsenal,3-0,Coventry City,,,Barry Knight,Match Report,
