Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1999-08-07,,Middlesbrough,0-1,Bradford City,,,Neale Barry,Match Report,
1,Sat,1999-08-07,,Watford,2-3,Wimbledon,,,Stephen Lodge,Match Report,
1,Sat,1999-08-07,,Sheffield Weds,1-2,Liverpool,,,Graham Poll,Match Report,
1,Sat,1999-08-07,,Arsenal,2-1,Leicester City,,,Alan Wilkie,Match Report,
1,Sat,1999-08-07,,Newcastle Utd,0-1,Aston Villa,,,Uriah Rennie,Match Report,
1,Sat,1999-08-07,,Chelsea,4-0,Sunderland,,,Mike Riley,Match Report,
1,Sat,1999-08-07,,Coventry City,0-1,Southampton,,,Peter Jones,Match Report,
1,Sat,1999-08-07,,West Ham,1-0,Tottenham,,,David Elleray,Match Report,
1,Sat,1999-08-07,,Leeds United,0-0,Derby County,,,Graham Barber,Match Report,
1,Sun,1999-08-08,,Everton,1-1,Manchester Utd,,,Dermot Gallagher,Match Report,
2,Mon,1999-08-09,,Tottenham,3-1,Newcastle Utd,,,Rob Harris,Match Report,
2,Tue,1999-08-10,,Wimbledon,2-3,Middlesbrough,,,Barry Knight,Match Report,
2,Tue,1999-08-10,,Derby County,1-2,Arsenal,,,Stephen Lodge,Match Report,
2,Tue,1999-08-10,,Sunderland,2-0,Watford,,,Jeff Winter,Match Report,
2,Wed,1999-08-11,,Aston Villa,3-0,Everton,,,Graham Barber,Match Report,
2,Wed,1999-08-11,,Leicester City,1-0,Coventry City,,,Neale Barry,Match Report,
2,Wed,1999-08-11,,Manchester Utd,4-0,Sheffield Weds,,,Mike Reed,Match Report,
2,Wed,1999-08-11,,Southampton,0-3,Leeds United,,,Alan Wiley,Match Report,
3,Sat,1999-08-14,,Sunderland,0-0,Arsenal,,,Uriah Rennie,Match Report,
3,Sat,1999-08-14,,Leicester City,2-2,Chelsea,,,Stephen Lodge,Match Report,
3,Sat,1999-08-14,,Liverpool,0-1,Watford,,,Alan Wilkie,Match Report,
3,Sat,1999-08-14,,Manchester Utd,2-0,Leeds United,,,Neale Barry,Match Report,
3,Sat,1999-08-14,,Wimbledon,1-1,Coventry City,,,Mark Halsey,Match Report,
3,Sat,1999-08-14,,Derby County,1-3,Middlesbrough,,,Stephen Bennett,Match Report,
3,Sat,1999-08-14,,Bradford City,1-1,Sheffield Weds,,,Dermot Gallagher,Match Report,
3,Sat,1999-08-14,,Tottenham,3-2,Everton,,,Paul Alcock,Match Report,
3,Sun,1999-08-15,,Southampton,4-2,Newcastle Utd,,,David Elleray,Match Report,
3,Mon,1999-08-16,,Aston Villa,2-2,West Ham,,,Mike Riley,Match Report,
4,Sat,1999-08-21,,Chelsea,1-0,Aston Villa,,,Neale Barry,Match Report,
4,Sat,1999-08-21,,West Ham,2-1,Leicester City,,,Alan Wiley,Match Report,
4,Sat,1999-08-21,,Coventry City,2-0,Derby County,,,Jeff Winter,Match Report,
4,Sat,1999-08-21,,Sheffield Weds,1-2,Tottenham,,,Andy D'Urso,Match Report,
4,Sat,1999-08-21,,Leeds United,2-1,Sunderland,,,Paul Alcock,Match Report,
4,Sat,1999-08-21,,Everton,4-1,Southampton,,,Barry Knight,Match Report,
4,Sat,1999-08-21,,Newcastle Utd,3-3,Wimbledon,,,Mike Reed,Match Report,
4,Sat,1999-08-21,,Watford,1-0,Bradford City,,,Rob Harris,Match Report,
4,Sat,1999-08-21,,Middlesbrough,1-0,Liverpool,,,Steve Dunn,Match Report,
4,Sun,1999-08-22,,Arsenal,1-2,Manchester Utd,,,Graham Poll,Match Report,
5,Mon,1999-08-23,,Leeds United,1-2,Liverpool,,,David Elleray,Match Report,
5,Tue,1999-08-24,,Watford,0-1,Aston Villa,,,Stephen Bennett,Match Report,
5,Tue,1999-08-24,,Middlesbrough,0-3,Leicester City,,,Rob Harris,Match Report,
5,Wed,1999-08-25,,Everton,4-0,Wimbledon,,,Jeff Winter,Match Report,
5,Wed,1999-08-25,,Coventry City,1-2,Manchester Utd,,,Alan Wilkie,Match Report,
5,Wed,1999-08-25,,Newcastle Utd,1-2,Sunderland,,,Graham Poll,Match Report,
5,Wed,1999-08-25,,Sheffield Weds,0-2,Derby County,,,Mike Reed,Match Report,
5,Wed,1999-08-25,,Arsenal,2-0,Bradford City,,,Alan Wiley,Match Report,
6,Sat,1999-08-28,,Derby County,1-0,Everton,,,Andy D'Urso,Match Report,
6,Sat,1999-08-28,,Tottenham,1-2,Leeds United,,,Mike Reed,Match Report,
6,Sat,1999-08-28,,Southampton,2-0,Sheffield Weds,,,Paul Alcock,Match Report,
6,Sat,1999-08-28,,Liverpool,2-0,Arsenal,,,Dermot Gallagher,Match Report,
6,Sat,1999-08-28,,Aston Villa,1-0,Middlesbrough,,,Mark Halsey,Match Report,
6,Sat,1999-08-28,,Wimbledon,0-1,Chelsea,,,Steve Dunn,Match Report,
6,Sat,1999-08-28,,Bradford City,0-3,West Ham,,,Peter Jones,Match Report,
6,Sun,1999-08-29,,Sunderland,1-1,Coventry City,,,Stephen Lodge,Match Report,
6,Mon,1999-08-30,,Leicester City,1-0,Watford,,,Neale Barry,Match Report,
6,Mon,1999-08-30,,Manchester Utd,5-1,Newcastle Utd,,,Jeff Winter,Match Report,
7,Sat,1999-09-11,,West Ham,1-0,Watford,,,Dermot Gallagher,Match Report,
7,Sat,1999-09-11,,Sheffield Weds,0-2,Everton,,,Mark Halsey,Match Report,
7,Sat,1999-09-11,,Coventry City,3-4,Leeds United,,,Steve Dunn,Match Report,
7,Sat,1999-09-11,,Middlesbrough,3-2,Southampton,,,Stephen Lodge,Match Report,
7,Sat,1999-09-11,,Arsenal,3-1,Aston Villa,,,David Elleray,Match Report,
7,Sat,1999-09-11,,Sunderland,2-0,Leicester City,,,Andy D'Urso,Match Report,
7,Sat,1999-09-11,,Liverpool,2-3,Manchester Utd,,,Graham Barber,Match Report,
7,Sat,1999-09-11,,Wimbledon,2-2,Derby County,,,Alan Wiley,Match Report,
7,Sat,1999-09-11,,Chelsea,1-0,Newcastle Utd,,,Graham Poll,Match Report,
7,Sun,1999-09-12,,Bradford City,1-1,Tottenham,,,Alan Wilkie,Match Report,
8,Sat,1999-09-18,,Leicester City,2-2,Liverpool,,,Uriah Rennie,Match Report,
8,Sat,1999-09-18,,Derby County,0-5,Sunderland,,,Peter Jones,Match Report,
8,Sat,1999-09-18,,Aston Villa,1-0,Bradford City,,,Stephen Lodge,Match Report,
8,Sat,1999-09-18,,Manchester Utd,1-1,Wimbledon,,,Rob Harris,Match Report,
8,Sat,1999-09-18,,Southampton,0-1,Arsenal,,,Graham Barber,Match Report,
8,Sat,1999-09-18,,Watford,1-0,Chelsea,,,Mike Reed,Match Report,
8,Sun,1999-09-19,,Everton,1-0,West Ham,,,Stephen Bennett,Match Report,
8,Sun,1999-09-19,,Newcastle Utd,8-0,Sheffield Weds,,,Neale Barry,Match Report,
8,Sun,1999-09-19,,Leeds United,2-0,Middlesbrough,,,Dermot Gallagher,Match Report,
8,Sun,1999-09-19,,Tottenham,3-2,Coventry City,,,Andy D'Urso,Match Report,
9,Sat,1999-09-25,,Leicester City,3-1,Aston Villa,,,Jeff Winter,Match Report,
9,Sat,1999-09-25,,Coventry City,1-0,West Ham,,,David Elleray,Match Report,
9,Sat,1999-09-25,,Derby County,0-1,Bradford City,,,Mark Halsey,Match Report,
9,Sat,1999-09-25,,Sunderland,1-0,Sheffield Weds,,,Alan Wiley,Match Report,
9,Sat,1999-09-25,,Middlesbrough,0-1,Chelsea,,,Paul Alcock,Match Report,
9,Sat,1999-09-25,,Manchester Utd,3-3,Southampton,,,Steve Dunn,Match Report,
9,Sat,1999-09-25,,Leeds United,3-2,Newcastle Utd,,,Barry Knight,Match Report,
9,Sat,1999-09-25,,Arsenal,1-0,Watford,,,Paul Durkin,Match Report,
9,Sun,1999-09-26,,Wimbledon,1-1,Tottenham,,,Graham Poll,Match Report,
9,Mon,1999-09-27,,Liverpool,0-1,Everton,,,Mike Riley,Match Report,
10,Sat,1999-10-02,,Bradford City,0-4,Sunderland,,,Stephen Bennett,Match Report,
10,Sat,1999-10-02,,Everton,1-1,Coventry City,,,Neale Barry,Match Report,
10,Sat,1999-10-02,,Aston Villa,0-0,Liverpool,,,Rob Harris,Match Report,
10,Sat,1999-10-02,,Sheffield Weds,5-1,Wimbledon,,,Paul Durkin,Match Report,
10,Sun,1999-10-03,,Watford,1-2,Leeds United,,,Andy D'Urso,Match Report,
10,Sun,1999-10-03,,Newcastle Utd,2-1,Middlesbrough,,,Stephen Lodge,Match Report,
10,Sun,1999-10-03,,Tottenham,2-3,Leicester City,,,Graham Barber,Match Report,
10,Sun,1999-10-03,,West Ham,2-1,Arsenal,,,Mike Reed,Match Report,
10,Sun,1999-10-03,,Chelsea,5-0,Manchester Utd,,,Dermot Gallagher,Match Report,
10,Mon,1999-10-04,,Southampton,3-3,Derby County,,,Graham Poll,Match Report,
11,Sat,1999-10-16,,Liverpool,1-0,Chelsea,,,Mike Reed,Match Report,
11,Sat,1999-10-16,,Manchester Utd,4-1,Watford,,,Peter Jones,Match Report,
11,Sat,1999-10-16,,Derby County,0-1,Tottenham,,,Paul Durkin,Match Report,
11,Sat,1999-10-16,,Coventry City,4-1,Newcastle Utd,,,Alan Wiley,Match Report,
11,Sat,1999-10-16,,Leicester City,2-1,Southampton,,,Barry Knight,Match Report,
11,Sat,1999-10-16,,Leeds United,2-0,Sheffield Weds,,,Graham Barber,Match Report,
11,Sat,1999-10-16,,Wimbledon,3-2,Bradford City,,,Paul Alcock,Match Report,
11,Sat,1999-10-16,,Arsenal,4-1,Everton,,,Steve Dunn,Match Report,
11,Sun,1999-10-17,,Middlesbrough,2-0,West Ham,,,Uriah Rennie,Match Report,
11,Mon,1999-10-18,,Sunderland,2-1,Aston Villa,,,David Elleray,Match Report,
12,Sat,1999-10-23,,Southampton,1-1,Liverpool,,,Neale Barry,Match Report,
12,Sat,1999-10-23,,Chelsea,2-3,Arsenal,,,Alan Wilkie,Match Report,
12,Sat,1999-10-23,,Tottenham,3-1,Manchester Utd,,,Jeff Winter,Match Report,
12,Sat,1999-10-23,,Bradford City,3-1,Leicester City,,,Mike Reed,Match Report,
12,Sat,1999-10-23,,Sheffield Weds,0-0,Coventry City,,,Mike Riley,Match Report,
12,Sat,1999-10-23,,Aston Villa,1-1,Wimbledon,,,Uriah Rennie,Match Report,
12,Sun,1999-10-24,,Watford,1-3,Middlesbrough,,,Alan Wiley,Match Report,
12,Sun,1999-10-24,,West Ham,1-1,Sunderland,,,Mark Halsey,Match Report,
12,Sun,1999-10-24,,Everton,4-4,Leeds United,,,Dermot Gallagher,Match Report,
12,Mon,1999-10-25,,Newcastle Utd,2-0,Derby County,,,Steve Dunn,Match Report,
2,Wed,1999-10-27,,Liverpool,1-0,West Ham,,,Stephen Lodge,Match Report,
13,Sat,1999-10-30,,Derby County,3-1,Chelsea,,,Rob Harris,Match Report,
13,Sat,1999-10-30,,Leicester City,3-0,Sheffield Weds,,,Paul Alcock,Match Report,
13,Sat,1999-10-30,,Arsenal,0-0,Newcastle Utd,,,Peter Jones,Match Report,
13,Sat,1999-10-30,,Manchester Utd,3-0,Aston Villa,,,Alan Wilkie,Match Report,
