Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Wed,2001-09-19,,Blackburn,1-1,Bolton,,,Jeff Winter,Match Report,
6,Wed,2001-09-19,,Leicester City,1-2,Middlesbrough,,,Neale Barry,Match Report,
7,Sat,2001-09-22,,Sunderland,2-2,Charlton Ath,,,Andy D'Urso,Match Report,
7,Sat,2001-09-22,,Liverpool,1-0,Tottenham,,,Dermot Gallagher,Match Report,
7,Sat,2001-09-22,,Leicester City,0-0,Fulham,,,Eddie Wolstenholme,Match Report,
7,Sat,2001-09-22,,Manchester Utd,4-0,Ipswich Town,,,Neale Barry,Match Report,
7,Sat,2001-09-22,,Arsenal,1-1,Bolton,,,Clive Wilkes,Match Report,
7,Sat,2001-09-22,,Blackburn,1-0,Everton,,,Graham Barber,Match Report,
7,Sun,2001-09-23,,Chelsea,2-2,Middlesbrough,,,Rob Styles,Match Report,
7,Sun,2001-09-23,,Leeds United,3-0,Derby County,,,Alan Wiley,Match Report,
7,Sun,2001-09-23,,West Ham,3-0,Newcastle Utd,,,Peter Jones,Match Report,
7,Mon,2001-09-24,,Southampton,1-3,Aston Villa,,,Steve Dunn,Match Report,
2,Wed,2001-09-26,,Newcastle Utd,1-0,Leicester City,,,David Pugh,Match Report,
8,Sat,2001-09-29,,Tottenham,3-5,Manchester Utd,,,Jeff Winter,Match Report,
8,Sat,2001-09-29,,Charlton Ath,2-0,Leicester City,,,Mike Dean,Match Report,
8,Sat,2001-09-29,,Bolton,0-2,Sunderland,,,David Elleray,Match Report,
8,Sat,2001-09-29,,Middlesbrough,1-3,Southampton,,,Alan Wiley,Match Report,
8,Sat,2001-09-29,,Everton,5-0,West Ham,,,Paul Durkin,Match Report,
8,Sat,2001-09-29,,Derby County,0-2,Arsenal,,,Rob Styles,Match Report,
8,Sun,2001-09-30,,Newcastle Utd,0-2,Liverpool,,,Graham Barber,Match Report,
8,Sun,2001-09-30,,Fulham,1-1,Chelsea,,,Graham Poll,Match Report,
8,Sun,2001-09-30,,Ipswich Town,1-2,Leeds United,,,Andy D'Urso,Match Report,
8,Sun,2001-09-30,,Aston Villa,2-0,Blackburn,,,Mark Halsey,Match Report,
9,Sat,2001-10-13,,Sunderland,1-3,Manchester Utd,,,Graham Poll,Match Report,
9,Sat,2001-10-13,,Bolton,0-4,Newcastle Utd,,,Mike Riley,Match Report,
9,Sat,2001-10-13,,Chelsea,2-0,Leicester City,,,Jeff Winter,Match Report,
9,Sat,2001-10-13,,Ipswich Town,0-0,Everton,,,Clive Wilkes,Match Report,
9,Sat,2001-10-13,,Southampton,0-2,Arsenal,,,Graham Barber,Match Report,
9,Sat,2001-10-13,,Liverpool,1-1,Leeds United,,,Alan Wiley,Match Report,
9,Sun,2001-10-14,,Aston Villa,2-0,Fulham,,,Paul Durkin,Match Report,
9,Sun,2001-10-14,,Charlton Ath,0-0,Middlesbrough,,,David Elleray,Match Report,
9,Sun,2001-10-14,,Blackburn,7-1,West Ham,,,Andy D'Urso,Match Report,
9,Mon,2001-10-15,,Tottenham,3-1,Derby County,,,Mark Halsey,Match Report,
10,Sat,2001-10-20,,Manchester Utd,1-2,Bolton,,,Graham Barber,Match Report,
10,Sat,2001-10-20,,Everton,3-2,Aston Villa,,,Rob Styles,Match Report,
10,Sat,2001-10-20,,Derby County,1-1,Charlton Ath,,,Andy D'Urso,Match Report,
10,Sat,2001-10-20,,West Ham,2-0,Southampton,,,Neale Barry,Match Report,
10,Sat,2001-10-20,,Arsenal,3-3,Blackburn,,,Uriah Rennie,Match Report,
10,Sat,2001-10-20,,Leicester City,1-4,Liverpool,,,Mark Halsey,Match Report,
10,Sun,2001-10-21,,Leeds United,0-0,Chelsea,,,Paul Durkin,Match Report,
10,Sun,2001-10-21,,Fulham,1-1,Ipswich Town,,,Mike Riley,Match Report,
10,Sun,2001-10-21,,Newcastle Utd,0-2,Tottenham,,,Alan Wiley,Match Report,
10,Mon,2001-10-22,,Middlesbrough,2-0,Sunderland,,,Mark Halsey,Match Report,
2,Wed,2001-10-24,,West Ham,2-1,Chelsea,,,Dermot Gallagher,Match Report,
2,Wed,2001-10-24,,Aston Villa,1-0,Charlton Ath,,,David Pugh,Match Report,
6,Wed,2001-10-24,,Southampton,3-3,Ipswich Town,,,Uriah Rennie,Match Report,
11,Sat,2001-10-27,,Manchester Utd,1-1,Leeds United,,,Dermot Gallagher,Match Report,
11,Sat,2001-10-27,,Fulham,2-1,Southampton,,,Andy D'Urso,Match Report,
11,Sat,2001-10-27,,Aston Villa,3-2,Bolton,,,Eddie Wolstenholme,Match Report,
11,Sat,2001-10-27,,Everton,1-3,Newcastle Utd,,,Jeff Winter,Match Report,
11,Sat,2001-10-27,,Tottenham,2-1,Middlesbrough,,,Mike Dean,Match Report,
11,Sat,2001-10-27,,Charlton Ath,0-2,Liverpool,,,Peter Jones,Match Report,
11,Sat,2001-10-27,,Sunderland,1-1,Arsenal,,,Mike Riley,Match Report,
11,Sun,2001-10-28,,Ipswich Town,2-3,West Ham,,,Steve Dunn,Match Report,
11,Sun,2001-10-28,,Derby County,1-1,Chelsea,,,Stephen Bennett,Match Report,
11,Mon,2001-10-29,,Blackburn,0-0,Leicester City,,,Rob Styles,Match Report,
12,Sat,2001-11-03,,Newcastle Utd,3-0,Aston Villa,,,Clive Wilkes,Match Report,
12,Sat,2001-11-03,,Leicester City,1-0,Sunderland,,,Steve Dunn,Match Report,
12,Sat,2001-11-03,,West Ham,0-2,Fulham,,,Graham Barber,Match Report,
12,Sat,2001-11-03,,Southampton,1-2,Blackburn,,,Alan Wiley,Match Report,
12,Sat,2001-11-03,,Middlesbrough,5-1,Derby County,,,Neale Barry,Match Report,
12,Sat,2001-11-03,,Bolton,2-2,Everton,,,Andy D'Urso,Match Report,
12,Sun,2001-11-04,,Chelsea,2-1,Ipswich Town,,,Rob Styles,Match Report,
12,Sun,2001-11-04,,Leeds United,2-1,Tottenham,,,Stephen Bennett,Match Report,
12,Sun,2001-11-04,,Liverpool,3-1,Manchester Utd,,,Graham Poll,Match Report,
12,Sun,2001-11-04,,Arsenal,2-4,Charlton Ath,,,Mark Halsey,Match Report,
13,Sat,2001-11-17,,Derby County,1-0,Southampton,,,Paul Durkin,Match Report,
13,Sat,2001-11-17,,Sunderland,2-0,Leeds United,,,Graham Barber,Match Report,
13,Sat,2001-11-17,,Tottenham,1-1,Arsenal,,,Jeff Winter,Match Report,
13,Sat,2001-11-17,,Fulham,3-1,Newcastle Utd,,,Eddie Wolstenholme,Match Report,
13,Sat,2001-11-17,,Aston Villa,0-0,Middlesbrough,,,Peter Jones,Match Report,
13,Sat,2001-11-17,,Manchester Utd,2-0,Leicester City,,,Andy D'Urso,Match Report,
13,Sat,2001-11-17,,Blackburn,1-1,Liverpool,,,Mike Riley,Match Report,
13,Sun,2001-11-18,,Everton,0-0,Chelsea,,,Mark Halsey,Match Report,
13,Sun,2001-11-18,,Ipswich Town,1-2,Bolton,,,Stephen Bennett,Match Report,
13,Mon,2001-11-19,,Charlton Ath,4-4,West Ham,,,Alan Wiley,Match Report,
14,Sat,2001-11-24,,Bolton,0-0,Fulham,,,Mike Dean,Match Report,
14,Sat,2001-11-24,,Leicester City,0-0,Everton,,,Uriah Rennie,Match Report,
14,Sat,2001-11-24,,West Ham,0-1,Tottenham,,,David Elleray,Match Report,
14,Sat,2001-11-24,,Chelsea,0-0,Blackburn,,,Graham Poll,Match Report,
14,Sat,2001-11-24,,Southampton,1-0,Charlton Ath,,,Dermot Gallagher,Match Report,
14,Sat,2001-11-24,,Newcastle Utd,1-0,Derby County,,,Rob Styles,Match Report,
14,Sun,2001-11-25,,Arsenal,3-1,Manchester Utd,,,Peter Jones,Match Report,
14,Sun,2001-11-25,,Middlesbrough,0-0,Ipswich Town,,,David Pugh,Match Report,
14,Sun,2001-11-25,,Leeds United,1-1,Aston Villa,,,Neale Barry,Match Report,
14,Sun,2001-11-25,,Liverpool,1-0,Sunderland,,,Stephen Bennett,Match Report,
15,Sat,2001-12-01,,Aston Villa,0-2,Leicester City,,,Stephen Bennett,Match Report,
15,Sat,2001-12-01,,Derby County,0-1,Liverpool,,,Graham Barber,Match Report,
15,Sat,2001-12-01,,Blackburn,0-1,Middlesbrough,,,Barry Knight,Match Report,
15,Sat,2001-12-01,,Sunderland,1-0,West Ham,,,Peter Jones,Match Report,
15,Sat,2001-12-01,,Ipswich Town,0-2,Arsenal,,,David Elleray,Match Report,
15,Sat,2001-12-01,,Manchester Utd,0-3,Chelsea,,,Alan Wiley,Match Report,
15,Sat,2001-12-01,,Charlton Ath,1-1,Newcastle Utd,,,Andy D'Urso,Match Report,
15,Sun,2001-12-02,,Fulham,0-0,Leeds United,,,Graham Poll,Match Report,
15,Sun,2001-12-02,,Everton,2-0,Southampton,,,Jeff Winter,Match Report,
15,Mon,2001-12-03,,Tottenham,3-2,Bolton,,,Paul Durkin,Match Report,
6,Wed,2001-12-05,,West Ham,1-1,Aston Villa,,,Mike Dean,Match Report,
6,Wed,2001-12-05,,Chelsea,0-1,Charlton Ath,,,Dermot Gallagher,Match Report,
16,Sat,2001-12-08,,Liverpool,2-0,Middlesbrough,,,Dermot Gallagher,Match Report,
16,Sat,2001-12-08,,Charlton Ath,3-1,Tottenham,,,Steve Dunn,Match Report,
16,Sat,2001-12-08,,Derby County,1-0,Bolton,,,Matt Messias,Match Report,
16,Sat,2001-12-08,,Leicester City,0-4,Southampton,,,Graham Poll,Match Report,
16,Sat,2001-12-08,,Fulham,2-0,Everton,,,Phil Dowd,Match Report,
16,Sat,2001-12-08,,Manchester Utd,0-1,West Ham,,,Paul Durkin,Match Report,
16,Sun,2001-12-09,,Arsenal,3-2,Aston Villa,,,Alan Wiley,Match Report,
16,Sun,2001-12-09,,Blackburn,1-2,Leeds United,,,Andy D'Urso,Match Report,
16,Sun,2001-12-09,,Ipswich Town,0-1,Newcastle Utd,,,Rob Styles,Match Report,
16,Sun,2001-12-09,,Sunderland,0-0,Chelsea,,,Neale Barry,Match Report,
6,Wed,2001-12-12,,Manchester Utd,5-0,Derby County,,,Mark Halsey,Match Report,
6,Wed,2001-12-12,,Liverpool,0-0,Fulham,,,Jeff Winter,Match Report,
17,Sat,2001-12-15,,Everton,1-0,Derby County,,,Clive Wilkes,Match Report,
17,Sat,2001-12-15,,Southampton,2-0,Sunderland,,,David Pugh,Match Report,
17,Sat,2001-12-15,,Newcastle Utd,2-1,Blackburn,,,Steve Dunn,Match Report,
17,Sat,2001-12-15,,West Ham,1-1,Arsenal,,,Mike Riley,Match Report,
17,Sat,2001-12-15,,Bolton,0-0,Charlton Ath,,,Chris Foy,Match Report,
17,Sat,2001-12-15,,Middlesbrough,0-1,Manchester Utd,,,David Elleray,Match Report,
17,Sat,2001-12-15,,Tottenham,4-0,Fulham,,,Neale Barry,Match Report,
17,Sun,2001-12-16,,Chelsea,4-0,Liverpool,,,Mark Halsey,Match Report,
17,Sun,2001-12-16,,Leeds United,2-2,Leicester City,,,Rob Styles,Match Report,
17,Mon,2001-12-17,,Aston Villa,2-1,Ipswich Town,,,Mike Dean,Match Report,
6,Tue,2001-12-18,,Arsenal,1-3,Newcastle Utd,,,Graham Poll,Match Report,
6,Wed,2001-12-19,,Leeds United,3-2,Everton,,,Peter Jones,Match Report,
18,Sat,2001-12-22,,Manchester Utd,6-1,Southampton,,,Steve Dunn,Match Report,
18,Sat,2001-12-22,,Derby County,3-1,Aston Villa,,,David Elleray,Match Report,
18,Sat,2001-12-22,,Tottenham,1-2,Ipswich Town,,,Mike Riley,Match Report,
18,Sat,2001-12-22,,Leeds United,3-4,Newcastle Utd,,,Jeff Winter,Match Report,
18,Sat,2001-12-22,,Leicester City,1-1,West Ham,,,Eddie Wolstenholme,Match Report,
18,Sat,2001-12-22,,Sunderland,1-0,Everton,,,Barry Knight,Match Report,
18,Sat,2001-12-22,,Charlton Ath,0-2,Blackburn,,,Alan Wiley,Match Report,
18,Sun,2001-12-23,,Chelsea,5-1,Bolton,,,Uriah Rennie,Match Report,
18,Sun,2001-12-23,,Liverpool,1-2,Arsenal,,,Paul Durkin,Match Report,
19,Wed,2001-12-26,,Bolton,0-3,Leeds United,,,Alan Wiley,Match Report,
19,Wed,2001-12-26,,Newcastle Utd,3-0,Middlesbrough,,,Mark Halsey,Match Report,
19,Wed,2001-12-26,,West Ham,4-0,Derby County,,,Graham Poll,Match Report,
19,Wed,2001-12-26,,Fulham,0-0,Charlton Ath,,,Stephen Bennett,Match Report,
19,Wed,2001-12-26,,Arsenal,2-1,Chelsea,,,Graham Barber,Match Report,
19,Wed,2001-12-26,,Southampton,1-0,Tottenham,,,Peter Jones,Match Report,
19,Wed,2001-12-26,,Aston Villa,1-2,Liverpool,,,Andy D'Urso,Match Report,
19,Wed,2001-12-26,,Blackburn,0-3,Sunderland,,,Clive Wilkes,Match Report,
19,Wed,2001-12-26,,Everton,0-2,Manchester Utd,,,Uriah Rennie,Match Report,
19,Wed,2001-12-26,,Ipswich Town,2-0,Leicester City,,,Neale Barry,Match Report,
20,Sat,2001-12-29,,Newcastle Utd,1-2,Chelsea,,,Stephen Bennett,Match Report,
20,Sat,2001-12-29,,Arsenal,2-1,Middlesbrough,,,Andy D'Urso,Match Report,
20,Sat,2001-12-29,,Everton,0-3,Charlton Ath,,,Graham Barber,Match Report,
20,Sat,2001-12-29,,Southampton,0-1,Leeds United,,,Mark Halsey,Match Report,
20,Sat,2001-12-29,,Ipswich Town,5-0,Sunderland,,,Graham Poll,Match Report,
20,Sat,2001-12-29,,West Ham,1-1,Liverpool,,,Rob Styles,Match Report,
20,Sat,2001-12-29,,Bolton,2-2,Leicester City,,,Mike Riley,Match Report,
20,Sat,2001-12-29,,Aston Villa,1-1,Tottenham,,,Eddie Wolstenholme,Match Report,
20,Sat,2001-12-29,,Blackburn,0-1,Derby County,,,David Pugh,Match Report,
20,Sun,2001-12-30,,Fulham,2-3,Manchester Utd,,,Dermot Gallagher,Match Report,
21,Tue,2002-01-01,,Sunderland,1-1,Aston Villa,,,Mike Riley,Match Report,
21,Tue,2002-01-01,,Chelsea,2-4,Southampton,,,Eddie Wolstenholme,Match Report,
21,Tue,2002-01-01,,Leeds United,3-0,West Ham,,,Steve Dunn,Match Report,
21,Tue,2002-01-01,,Liverpool,1-1,Bolton,,,Clive Wilkes,Match Report,
21,Tue,2002-01-01,,Tottenham,1-0,Blackburn,,,Jeff Winter,Match Report,
21,Tue,2002-01-01,,Charlton Ath,3-2,Ipswich Town,,,Uriah Rennie,Match Report,
21,Tue,2002-01-01,,Middlesbrough,1-0,Everton,,,Rob Styles,Match Report,
21,Wed,2002-01-02,,Derby County,0-1,Fulham,,,Barry Knight,Match Report,
21,Wed,2002-01-02,,Manchester Utd,3-1,Newcastle Utd,,,Peter Jones,Match Report,
2,Wed,2002-01-09,,Southampton,2-0,Liverpool,,,Graham Poll,Match Report,
22,Sat,2002-01-12,,Blackburn,4-1,Charlton Ath,,,Neale Barry,Match Report,
22,Sat,2002-01-12,,Newcastle Utd,3-1,Leeds United,,,Graham Barber,Match Report,
22,Sat,2002-01-12,,West Ham,1-0,Leicester City,,,Dermot Gallagher,Match Report,
22,Sat,2002-01-12,,Bolton,2-2,Chelsea,,,Jeff Winter,Match Report,
22,Sat,2002-01-12,,Ipswich Town,2-1,Tottenham,,,Matt Messias,Match Report,
22,Sat,2002-01-12,,Everton,1-0,Sunderland,,,David Elleray,Match Report,
22,Sat,2002-01-12,,Fulham,2-1,Middlesbrough,,,Mike Dean,Match Report,
22,Sat,2002-01-12,,Aston Villa,2-1,Derby County,,,Mark Halsey,Match Report,
22,Sun,2002-01-13,,Arsenal,1-1,Liverpool,,,Steve Dunn,Match Report,
22,Sun,2002-01-13,,Southampton,1-3,Manchester Utd,,,Stephen Bennett,Match Report,
23,Sat,2002-01-19,,Sunderland,1-1,Fulham,,,Peter Jones,Match Report,
23,Sat,2002-01-19,,Tottenham,1-1,Everton,,,Clive Wilkes,Match Report,
23,Sat,2002-01-19,,Derby County,1-3,Ipswich Town,,,Paul Durkin,Match Report,
23,Sat,2002-01-19,,Manchester Utd,2-1,Blackburn,,,Uriah Rennie,Match Report,
23,Sat,2002-01-19,,Leicester City,0-0,Newcastle Utd,,,Alan Wiley,Match Report,
23,Sat,2002-01-19,,Middlesbrough,1-1,Bolton,,,Graham Poll,Match Report,
23,Sat,2002-01-19,,Liverpool,1-1,Southampton,,,Neale Barry,Match Report,
23,Sun,2002-01-20,,Leeds United,1-1,Arsenal,,,Mark Halsey,Match Report,
23,Sun,2002-01-20,,Chelsea,5-1,West Ham,,,Andy D'Urso,Match Report,
23,Mon,2002-01-21,,Charlton Ath,1-2,Aston Villa,,,Rob Styles,Match Report,
33,Tue,2002-01-22,,Manchester Utd,0-1,Liverpool,,,Graham Barber,Match Report,
21,Wed,2002-01-23,,Leicester City,1-3,Arsenal,,,David Elleray,Match Report,
24,Tue,2002-01-29,,Bolton,0-4,Manchester Utd,,,Andy D'Urso,Match Report,
24,Tue,2002-01-29,,Sunderland,0-1,Middlesbrough,,,Paul Durkin,Match Report,
24,Tue,2002-01-29,,Charlton Ath,1-0,Derby County,,,David Pugh,Match Report,
24,Wed,2002-01-30,,Chelsea,2-0,Leeds United,,,Stephen Bennett,Match Report,
24,Wed,2002-01-30,,Ipswich Town,1-0,Fulham,,,Alan Wiley,Match Report,
24,Wed,2002-01-30,,Blackburn,2-3,Arsenal,,,Dermot Gallagher,Match Report,
24,Wed,2002-01-30,,Liverpool,1-0,Leicester City,,,Barry Knight,Match Report,
24,Wed,2002-01-30,,Southampton,2-0,West Ham,,,Phil Dowd,Match Report,
24,Wed,2002-01-30,,Aston Villa,0-0,Everton,,,Chris Foy,Match Report,
24,Wed,2002-01-30,,Tottenham,1-3,Newcastle Utd,,,Mike Dean,Match Report,
25,Sat,2002-02-02,,Newcastle Utd,3-2,Bolton,,,David Elleray,Match Report,
25,Sat,2002-02-02,,Leicester City,2-3,Chelsea,,,Graham Barber,Match Report,
25,Sat,2002-02-02,,Derby County,1-0,Tottenham,,,Uriah Rennie,Match Report,
25,Sat,2002-02-02,,Manchester Utd,4-1,Sunderland,,,Rob Styles,Match Report,
25,Sat,2002-02-02,,Fulham,0-0,Aston Villa,,,Matt Messias,Match Report,
25,Sat,2002-02-02,,Arsenal,1-1,Southampton,,,Clive Wilkes,Match Report,
25,Sat,2002-02-02,,Everton,1-2,Ipswich Town,,,Steve Dunn,Match Report,
25,Sat,2002-02-02,,West Ham,2-0,Blackburn,,,Peter Jones,Match Report,
25,Sun,2002-02-03,,Leeds United,0-4,Liverpool,,,Graham Poll,Match Report,
25,Sun,2002-02-03,,Middlesbrough,0-0,Charlton Ath,,,Mike Riley,Match Report,
26,Sat,2002-02-09,,Derby County,0-1,Sunderland,,,Graham Poll,Match Report,
26,Sat,2002-02-09,,Newcastle Utd,3-1,Southampton,,,Barry Knight,Match Report,
26,Sat,2002-02-09,,Bolton,1-0,West Ham,,,David Pugh,Match Report,
26,Sat,2002-02-09,,Middlesbrough,2-2,Leeds United,,,Neale Barry,Match Report,
26,Sat,2002-02-09,,Aston Villa,1-1,Chelsea,,,Phil Dowd,Match Report,
26,Sat,2002-02-09,,Ipswich Town,0-6,Liverpool,,,Stephen Bennett,Match Report,
26,Sat,2002-02-09,,Fulham,2-0,Blackburn,,,Mark Halsey,Match Report,
26,Sat,2002-02-09,,Tottenham,2-1,Leicester City,,,Andy D'Urso,Match Report,
26,Sun,2002-02-10,,Everton,0-1,Arsenal,,,Jeff Winter,Match Report,
26,Sun,2002-02-10,,Charlton Ath,0-2,Manchester Utd,,,Alan Wiley,Match Report,
18,Mon,2002-02-11,,Middlesbrough,2-1,Fulham,,,Dermot Gallagher,Match Report,
27,Sat,2002-02-23,,Manchester Utd,1-0,Aston Villa,,,Jeff Winter,Match Report,
27,Sat,2002-02-23,,West Ham,1-0,Middlesbrough,,,Chris Foy,Match Report,
27,Sat,2002-02-23,,Arsenal,4-1,Fulham,,,Uriah Rennie,Match Report,
27,Sat,2002-02-23,,Southampton,0-0,Bolton,,,Eddie Wolstenholme,Match Report,
27,Sat,2002-02-23,,Leicester City,0-3,Derby County,,,Mike Riley,Match Report,
27,Sat,2002-02-23,,Liverpool,1-1,Everton,,,David Elleray,Match Report,
27,Sun,2002-02-24,,Leeds United,0-0,Charlton Ath,,,Mike Dean,Match Report,
27,Sun,2002-02-24,,Sunderland,0-1,Newcastle Utd,,,Graham Barber,Match Report,
28,Sat,2002-03-02,,Ipswich Town,1-3,Southampton,,,Mark Halsey,Match Report,
28,Sat,2002-03-02,,Middlesbrough,1-0,Leicester City,,,Eddie Wolstenholme,Match Report,
28,Sat,2002-03-02,,Newcastle Utd,0-2,Arsenal,,,Neale Barry,Match Report,
28,Sat,2002-03-02,,Charlton Ath,2-1,Chelsea,,,Graham Poll,Match Report,
28,Sat,2002-03-02,,Tottenham,2-1,Sunderland,,,Rob Styles,Match Report,
28,Sat,2002-03-02,,Aston Villa,2-1,West Ham,,,Graham Barber,Match Report,
28,Sat,2002-03-02,,Bolton,1-1,Blackburn,,,Paul Durkin,Match Report,
28,Sat,2002-03-02,,Fulham,0-2,Liverpool,,,Alan Wiley,Match Report,
28,Sun,2002-03-03,,Derby County,2-2,Manchester Utd,,,Steve Dunn,Match Report,
28,Sun,2002-03-03,,Everton,0-0,Leeds United,,,Andy D'Urso,Match Report,
29,Tue,2002-03-05,,Blackburn,3-0,Aston Villa,,,Stephen Bennett,Match Report,
29,Tue,2002-03-05,,Arsenal,1-0,Derby County,,,Graham Barber,Match Report,
29,Tue,2002-03-05,,Sunderland,1-0,Bolton,,,Graham Poll,Match Report,
29,Wed,2002-03-06,,Liverpool,3-0,Newcastle Utd,,,Jeff Winter,Match Report,
29,Wed,2002-03-06,,Manchester Utd,4-0,Tottenham,,,Mike Riley,Match Report,
29,Wed,2002-03-06,,Leeds United,2-0,Ipswich Town,,,Dermot Gallagher,Match Report,
29,Wed,2002-03-06,,Southampton,1-1,Middlesbrough,,,Uriah Rennie,Match Report,
29,Wed,2002-03-06,,West Ham,1-0,Everton,,,Barry Knight,Match Report,
29,Wed,2002-03-06,,Chelsea,3-2,Fulham,,,Peter Jones,Match Report,
29,Sat,2002-03-09,,Leicester City,1-1,Charlton Ath,,,Clive Wilkes,Match Report,
27,Wed,2002-03-13,,Blackburn,2-1,Ipswich Town,,,Phil Dowd,Match Report,
27,Wed,2002-03-13,,Chelsea,4-0,Tottenham,,,Alan Wiley,Match Report,
30,Sat,2002-03-16,,West Ham,3-5,Manchester Utd,,,Mark Halsey,Match Report,
30,Sat,2002-03-16,,Bolton,1-3,Derby County,,,David Elleray,Match Report,
30,Sat,2002-03-16,,Newcastle Utd,2-2,Ipswich Town,,,Mike Riley,Match Report,
30,Sat,2002-03-16,,Middlesbrough,1-2,Liverpool,,,Andy D'Urso,Match Report,
30,Sat,2002-03-16,,Southampton,2-2,Leicester City,,,Mike Dean,Match Report,
30,Sat,2002-03-16,,Chelsea,4-0,Sunderland,,,Barry Knight,Match Report,
30,Sat,2002-03-16,,Everton,2-1,Fulham,,,Graham Barber,Match Report,
30,Sun,2002-03-17,,Aston Villa,1-2,Arsenal,,,Steve Dunn,Match Report,
30,Sun,2002-03-17,,Leeds United,3-1,Blackburn,,,Graham Poll,Match Report,
