Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2001-08-18,,Derby County,2-1,Blackburn,,,Paul Durkin,Match Report,
1,Sat,2001-08-18,,Liverpool,2-1,West Ham,,,Jeff Winter,Match Report,
1,Sat,2001-08-18,,Middlesbrough,0-4,Arsenal,,,Graham Barber,Match Report,
1,Sat,2001-08-18,,Charlton Ath,1-2,Everton,,,Neale Barry,Match Report,
1,Sat,2001-08-18,,Leicester City,0-5,Bolton,,,Rob Styles,Match Report,
1,Sat,2001-08-18,,Leeds United,2-0,Southampton,,,Clive Wilkes,Match Report,
1,Sat,2001-08-18,,Sunderland,1-0,Ipswich Town,,,Graham Poll,Match Report,
1,Sat,2001-08-18,,Tottenham,0-0,Aston Villa,,,Dermot Gallagher,Match Report,
1,Sun,2001-08-19,,Chelsea,1-1,Newcastle Utd,,,Andy D'Urso,Match Report,
1,Sun,2001-08-19,,Manchester Utd,3-2,Fulham,,,Peter Jones,Match Report,
2,Mon,2001-08-20,,Everton,1-1,Tottenham,,,David Elleray,Match Report,
2,Tue,2001-08-21,,Arsenal,1-2,Leeds United,,,Jeff Winter,Match Report,
2,Tue,2001-08-21,,Ipswich Town,3-1,Derby County,,,Eddie Wolstenholme,Match Report,
2,Tue,2001-08-21,,Bolton,1-0,Middlesbrough,,,Steve Dunn,Match Report,
2,Wed,2001-08-22,,Fulham,2-0,Sunderland,,,Mike Dean,Match Report,
2,Wed,2001-08-22,,Blackburn,2-2,Manchester Utd,,,Alan Wiley,Match Report,
3,Sat,2001-08-25,,Ipswich Town,0-1,Charlton Ath,,,Steve Dunn,Match Report,
3,Sat,2001-08-25,,Arsenal,4-0,Leicester City,,,Andy D'Urso,Match Report,
3,Sat,2001-08-25,,Southampton,0-2,Chelsea,,,David Elleray,Match Report,
3,Sat,2001-08-25,,Everton,2-0,Middlesbrough,,,Uriah Rennie,Match Report,
3,Sat,2001-08-25,,West Ham,0-0,Leeds United,,,Paul Durkin,Match Report,
3,Sat,2001-08-25,,Blackburn,2-1,Tottenham,,,Stephen Bennett,Match Report,
3,Sat,2001-08-25,,Fulham,0-0,Derby County,,,Mike Dean,Match Report,
3,Sun,2001-08-26,,Aston Villa,1-1,Manchester Utd,,,Graham Barber,Match Report,
3,Sun,2001-08-26,,Newcastle Utd,1-1,Sunderland,,,Mike Riley,Match Report,
3,Mon,2001-08-27,,Bolton,2-1,Liverpool,,,Graham Poll,Match Report,
4,Sat,2001-09-08,,Sunderland,1-0,Blackburn,,,Mike Dean,Match Report,
4,Sat,2001-09-08,,Chelsea,1-1,Arsenal,,,Mike Riley,Match Report,
4,Sat,2001-09-08,,Leicester City,1-1,Ipswich Town,,,Barry Knight,Match Report,
4,Sat,2001-09-08,,Manchester Utd,4-1,Everton,,,Dermot Gallagher,Match Report,
4,Sat,2001-09-08,,Liverpool,1-3,Aston Villa,,,Andy D'Urso,Match Report,
4,Sat,2001-09-08,,Derby County,0-0,West Ham,,,Clive Wilkes,Match Report,
4,Sat,2001-09-08,,Middlesbrough,1-4,Newcastle Utd,,,Graham Poll,Match Report,
4,Sat,2001-09-08,,Leeds United,0-0,Bolton,,,Stephen Bennett,Match Report,
4,Sun,2001-09-09,,Tottenham,2-0,Southampton,,,Alan Wiley,Match Report,
4,Sun,2001-09-09,,Charlton Ath,1-1,Fulham,,,Jeff Winter,Match Report,
5,Sat,2001-09-15,,Newcastle Utd,4-3,Manchester Utd,,,Stephen Bennett,Match Report,
5,Sat,2001-09-15,,Middlesbrough,2-0,West Ham,,,Mike Riley,Match Report,
5,Sat,2001-09-15,,Everton,1-3,Liverpool,,,Paul Durkin,Match Report,
5,Sat,2001-09-15,,Derby County,2-3,Leicester City,,,Graham Barber,Match Report,
5,Sat,2001-09-15,,Bolton,0-1,Southampton,,,David Pugh,Match Report,
5,Sat,2001-09-15,,Fulham,1-3,Arsenal,,,Alan Wiley,Match Report,
5,Sun,2001-09-16,,Tottenham,2-3,Chelsea,,,Steve Dunn,Match Report,
5,Sun,2001-09-16,,Charlton Ath,0-2,Leeds United,,,Mark Halsey,Match Report,
5,Sun,2001-09-16,,Aston Villa,0-0,Sunderland,,,Uriah Rennie,Match Report,
5,Sun,2001-09-16,,Ipswich Town,1-1,Blackburn,,,Graham Poll,Match Report,
6,Tue,2001-09-18,,Sunderland,1-2,Tottenham,,,Paul Durkin,Match Report,
