Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1993-08-14,,Aston Villa,4-1,QPR,,,Kelvin Morton,Match Report,
1,Sat,1993-08-14,,Sheffield Utd,3-1,Swindon Town,,,Jim Borrett,Match Report,
1,Sat,1993-08-14,,Chelsea,1-2,Blackburn,,,Alan Gunn,Match Report,
1,Sat,1993-08-14,,Southampton,0-2,Everton,,,Keith Cooper,Match Report,
1,Sat,1993-08-14,,Newcastle Utd,0-1,Tottenham,,,David Allison,Match Report,
1,Sat,1993-08-14,,West Ham,0-2,Wimbledon,,,Keith Burge,Match Report,
1,Sat,1993-08-14,,Manchester City,1-1,Leeds United,,,Dermot Gallagher,Match Report,
1,Sat,1993-08-14,,Oldham Athletic,0-3,Ipswich Town,,,Keren Barratt,Match Report,
1,Sat,1993-08-14,,Liverpool,2-0,Sheffield Weds,,,Gerald Ashby,Match Report,
1,Sat,1993-08-14,,Arsenal,0-3,Coventry City,,,Alan Wilkie,Match Report,
1,Sun,1993-08-15,,Norwich City,0-2,Manchester Utd,,,Keith Hackett,Match Report,
2,Mon,1993-08-16,,Tottenham,0-1,Arsenal,,,David Elleray,Match Report,
2,Tue,1993-08-17,,Everton,1-0,Manchester City,,,Vic Callow,Match Report,
2,Tue,1993-08-17,,Wimbledon,1-1,Chelsea,,,Mike Reed,Match Report,
2,Tue,1993-08-17,,Leeds United,1-0,West Ham,,,Roger Dilkes,Match Report,
2,Tue,1993-08-17,,Ipswich Town,1-0,Southampton,,,Alan Wilkie,Match Report,
2,Wed,1993-08-18,,QPR,1-3,Liverpool,,,Paul Durkin,Match Report,
2,Wed,1993-08-18,,Swindon Town,0-1,Oldham Athletic,,,Dermot Gallagher,Match Report,
2,Wed,1993-08-18,,Blackburn,2-3,Norwich City,,,Robbie Hart,Match Report,
2,Wed,1993-08-18,,Coventry City,2-1,Newcastle Utd,,,Jim Borrett,Match Report,
2,Wed,1993-08-18,,Manchester Utd,3-0,Sheffield Utd,,,Gerald Ashby,Match Report,
2,Wed,1993-08-18,,Sheffield Weds,0-0,Aston Villa,,,Peter Foakes,Match Report,
3,Sat,1993-08-21,,Leeds United,0-4,Norwich City,,,Mike Reed,Match Report,
3,Sat,1993-08-21,,Coventry City,1-1,West Ham,,,Stephen Lodge,Match Report,
3,Sat,1993-08-21,,Sheffield Weds,0-1,Arsenal,,,Robbie Hart,Match Report,
3,Sat,1993-08-21,,QPR,2-1,Southampton,,,Roger Dilkes,Match Report,
3,Sat,1993-08-21,,Tottenham,1-0,Manchester City,,,Keith Hackett,Match Report,
3,Sat,1993-08-21,,Ipswich Town,1-0,Chelsea,,,David Elleray,Match Report,
3,Sat,1993-08-21,,Manchester Utd,1-1,Newcastle Utd,,,Kelvin Morton,Match Report,
3,Sat,1993-08-21,,Wimbledon,2-2,Aston Villa,,,Jim Borrett,Match Report,
3,Sat,1993-08-21,,Everton,4-2,Sheffield Utd,,,Dermot Gallagher,Match Report,
