Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2002-08-17,,Manchester Utd,1-0,West Brom,,,Stephen Bennett,Match Report,
1,Sat,2002-08-17,,Leeds United,3-0,Manchester City,,,Graham Poll,Match Report,
1,Sat,2002-08-17,,Everton,2-2,Tottenham,,,Neale Barry,Match Report,
1,Sat,2002-08-17,,Fulham,4-1,Bolton,,,Alan Wiley,Match Report,
1,Sat,2002-08-17,,Charlton Ath,2-3,Chelsea,,,Graham Barber,Match Report,
1,Sat,2002-08-17,,Southampton,0-0,Middlesbrough,,,Barry Knight,Match Report,
1,Sat,2002-08-17,,Blackburn,0-0,Sunderland,,,David Elleray,Match Report,
1,Sun,2002-08-18,,Aston Villa,0-1,Liverpool,,,Andy D'Urso,Match Report,
1,Sun,2002-08-18,,Arsenal,2-0,Birmingham City,,,Mike Riley,Match Report,
1,Mon,2002-08-19,,Newcastle Utd,4-0,West Ham,,,Paul Durkin,Match Report,
2,Fri,2002-08-23,,Chelsea,2-2,Manchester Utd,,,Graham Poll,Match Report,
2,Sat,2002-08-24,,Sunderland,0-1,Everton,,,Rob Styles,Match Report,
2,Sat,2002-08-24,,Middlesbrough,2-2,Fulham,,,Mike Dean,Match Report,
2,Sat,2002-08-24,,West Ham,2-2,Arsenal,,,Neale Barry,Match Report,
2,Sat,2002-08-24,,Manchester City,1-0,Newcastle Utd,,,Uriah Rennie,Match Report,
2,Sat,2002-08-24,,Birmingham City,0-1,Blackburn,,,Dermot Gallagher,Match Report,
2,Sat,2002-08-24,,Tottenham,1-0,Aston Villa,,,Clive Wilkes,Match Report,
2,Sat,2002-08-24,,Liverpool,3-0,Southampton,,,Jeff Winter,Match Report,
2,Sat,2002-08-24,,West Brom,1-3,Leeds United,,,Steve Dunn,Match Report,
2,Sat,2002-08-24,,Bolton,1-2,Charlton Ath,,,Matt Messias,Match Report,
3,Tue,2002-08-27,,Arsenal,5-2,West Brom,,,Paul Durkin,Match Report,
3,Tue,2002-08-27,,Charlton Ath,0-1,Tottenham,,,Alan Wiley,Match Report,
3,Wed,2002-08-28,,Everton,1-1,Birmingham City,,,Eddie Wolstenholme,Match Report,
3,Wed,2002-08-28,,Southampton,1-1,Chelsea,,,Chris Foy,Match Report,
3,Wed,2002-08-28,,Aston Villa,1-0,Manchester City,,,David Pugh,Match Report,
3,Wed,2002-08-28,,Blackburn,2-2,Liverpool,,,Stephen Bennett,Match Report,
3,Wed,2002-08-28,,Leeds United,0-1,Sunderland,,,Mark Halsey,Match Report,
4,Sat,2002-08-31,,Middlesbrough,1-0,Blackburn,,,Mark Halsey,Match Report,
4,Sat,2002-08-31,,Sunderland,1-1,Manchester Utd,,,Uriah Rennie,Match Report,
4,Sat,2002-08-31,,Manchester City,3-1,Everton,,,Barry Knight,Match Report,
4,Sat,2002-08-31,,Tottenham,2-1,Southampton,,,Mike Dean,Match Report,
4,Sat,2002-08-31,,West Ham,0-2,Charlton Ath,,,Jeff Winter,Match Report,
4,Sat,2002-08-31,,West Brom,1-0,Fulham,,,Rob Styles,Match Report,
4,Sat,2002-08-31,,Birmingham City,2-1,Leeds United,,,Paul Durkin,Match Report,
4,Sun,2002-09-01,,Bolton,1-0,Aston Villa,,,Steve Dunn,Match Report,
4,Sun,2002-09-01,,Chelsea,1-1,Arsenal,,,Andy D'Urso,Match Report,
4,Mon,2002-09-02,,Liverpool,2-2,Newcastle Utd,,,Graham Poll,Match Report,
3,Tue,2002-09-03,,Manchester Utd,1-0,Middlesbrough,,,Mike Riley,Match Report,
5,Tue,2002-09-10,,Arsenal,2-1,Manchester City,,,Clive Wilkes,Match Report,
5,Tue,2002-09-10,,Middlesbrough,3-0,Sunderland,,,Alan Wiley,Match Report,
5,Wed,2002-09-11,,West Ham,0-1,West Brom,,,Andy D'Urso,Match Report,
5,Wed,2002-09-11,,Liverpool,2-2,Birmingham City,,,Neale Barry,Match Report,
5,Wed,2002-09-11,,Newcastle Utd,0-2,Leeds United,,,Dermot Gallagher,Match Report,
5,Wed,2002-09-11,,Manchester Utd,0-1,Bolton,,,Graham Barber,Match Report,
5,Wed,2002-09-11,,Blackburn,2-3,Chelsea,,,Mike Riley,Match Report,
5,Wed,2002-09-11,,Southampton,1-0,Everton,,,Stephen Bennett,Match Report,
5,Wed,2002-09-11,,Fulham,3-2,Tottenham,,,Mark Halsey,Match Report,
5,Wed,2002-09-11,,Aston Villa,2-0,Charlton Ath,,,Graham Poll,Match Report,
6,Sat,2002-09-14,,Sunderland,0-3,Fulham,,,Chris Foy,Match Report,
6,Sat,2002-09-14,,Charlton Ath,0-3,Arsenal,,,Steve Dunn,Match Report,
6,Sat,2002-09-14,,Chelsea,3-0,Newcastle Utd,,,Barry Knight,Match Report,
6,Sat,2002-09-14,,Everton,2-1,Middlesbrough,,,Matt Messias,Match Report,
6,Sat,2002-09-14,,Bolton,2-3,Liverpool,,,Rob Styles,Match Report,
6,Sat,2002-09-14,,West Brom,1-0,Southampton,,,Clive Wilkes,Match Report,
6,Sat,2002-09-14,,Leeds United,1-0,Manchester Utd,,,Jeff Winter,Match Report,
6,Sun,2002-09-15,,Tottenham,3-2,West Ham,,,Uriah Rennie,Match Report,
6,Sun,2002-09-15,,Manchester City,2-2,Blackburn,,,Mike Dean,Match Report,
6,Mon,2002-09-16,,Birmingham City,3-0,Aston Villa,,,David Elleray,Match Report,
7,Sat,2002-09-21,,Arsenal,2-1,Bolton,,,David Pugh,Match Report,
7,Sat,2002-09-21,,Newcastle Utd,2-0,Sunderland,,,Mike Riley,Match Report,
7,Sat,2002-09-21,,Manchester Utd,1-0,Tottenham,,,Rob Styles,Match Report,
7,Sat,2002-09-21,,Southampton,0-0,Charlton Ath,,,Phil Dowd,Match Report,
7,Sat,2002-09-21,,Liverpool,2-0,West Brom,,,David Elleray,Match Report,
7,Sat,2002-09-21,,West Ham,0-0,Manchester City,,,Graham Barber,Match Report,
7,Sat,2002-09-21,,Middlesbrough,1-0,Birmingham City,,,Andy D'Urso,Match Report,
7,Sun,2002-09-22,,Aston Villa,3-2,Everton,,,Jeff Winter,Match Report,
7,Sun,2002-09-22,,Blackburn,1-0,Leeds United,,,Graham Poll,Match Report,
7,Mon,2002-09-23,,Fulham,0-0,Chelsea,,,Paul Durkin,Match Report,
8,Sat,2002-09-28,,Sunderland,1-0,Aston Villa,,,Neale Barry,Match Report,
8,Sat,2002-09-28,,Chelsea,2-3,West Ham,,,Mike Dean,Match Report,
8,Sat,2002-09-28,,Leeds United,1-4,Arsenal,,,Alan Wiley,Match Report,
8,Sat,2002-09-28,,Manchester City,0-3,Liverpool,,,Paul Durkin,Match Report,
8,Sat,2002-09-28,,Birmingham City,0-2,Newcastle Utd,,,Stephen Bennett,Match Report,
8,Sat,2002-09-28,,Bolton,1-1,Southampton,,,Uriah Rennie,Match Report,
8,Sat,2002-09-28,,Tottenham,0-3,Middlesbrough,,,Graham Poll,Match Report,
8,Sat,2002-09-28,,Charlton Ath,1-3,Manchester Utd,,,Dermot Gallagher,Match Report,
8,Sat,2002-09-28,,Everton,2-0,Fulham,,,Steve Dunn,Match Report,
8,Mon,2002-09-30,,West Brom,0-2,Blackburn,,,Mark Halsey,Match Report,
9,Sat,2002-10-05,,Middlesbrough,2-0,Bolton,,,Clive Wilkes,Match Report,
9,Sat,2002-10-05,,Southampton,2-0,Manchester City,,,Matt Messias,Match Report,
9,Sat,2002-10-05,,Newcastle Utd,2-1,West Brom,,,Chris Foy,Match Report,
9,Sat,2002-10-05,,West Ham,1-2,Birmingham City,,,Phil Dowd,Match Report,
9,Sun,2002-10-06,,Fulham,1-0,Charlton Ath,,,Jeff Winter,Match Report,
9,Sun,2002-10-06,,Arsenal,3-1,Sunderland,,,David Elleray,Match Report,
9,Sun,2002-10-06,,Blackburn,1-2,Tottenham,,,Andy D'Urso,Match Report,
9,Sun,2002-10-06,,Liverpool,1-0,Chelsea,,,Graham Barber,Match Report,
9,Sun,2002-10-06,,Aston Villa,0-0,Leeds United,,,Mark Halsey,Match Report,
9,Mon,2002-10-07,,Manchester Utd,3-0,Everton,,,Mike Riley,Match Report,
10,Sat,2002-10-19,,Sunderland,0-1,West Ham,,,Graham Barber,Match Report,
10,Sat,2002-10-19,,Everton,2-1,Arsenal,,,Uriah Rennie,Match Report,
10,Sat,2002-10-19,,Fulham,1-1,Manchester Utd,,,Mike Dean,Match Report,
10,Sat,2002-10-19,,Leeds United,0-1,Liverpool,,,Steve Dunn,Match Report,
10,Sat,2002-10-19,,Blackburn,5-2,Newcastle Utd,,,Alan Wiley,Match Report,
10,Sat,2002-10-19,,West Brom,1-1,Birmingham City,,,Graham Poll,Match Report,
10,Sat,2002-10-19,,Manchester City,0-3,Chelsea,,,Dermot Gallagher,Match Report,
10,Sun,2002-10-20,,Tottenham,3-1,Bolton,,,Paul Durkin,Match Report,
10,Sun,2002-10-20,,Charlton Ath,1-0,Middlesbrough,,,Neale Barry,Match Report,
