Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2000-08-19,,Leeds United,2-0,Everton,,,Dermot Gallagher,Match Report,
1,Sat,2000-08-19,,Liverpool,1-0,Bradford City,,,Paul Durkin,Match Report,
1,Sat,2000-08-19,,Chelsea,4-2,West Ham,,,Graham Barber,Match Report,
1,Sat,2000-08-19,,Tottenham,3-1,Ipswich Town,,,Alan Wiley,Match Report,
1,Sat,2000-08-19,,Coventry City,1-3,Middlesbrough,,,Barry Knight,Match Report,
1,Sat,2000-08-19,,Derby County,2-2,Southampton,,,Andy D'Urso,Match Report,
1,Sat,2000-08-19,,Sunderland,1-0,Arsenal,,,Steve Dunn,Match Report,
1,Sat,2000-08-19,,Charlton Ath,4-0,Manchester City,,,Rob Harris,Match Report,
1,Sat,2000-08-19,,Leicester City,0-0,Aston Villa,,,Mike Riley,Match Report,
1,Sun,2000-08-20,,Manchester Utd,2-0,Newcastle Utd,,,Stephen Lodge,Match Report,
2,Mon,2000-08-21,,Arsenal,2-0,Liverpool,,,Graham Poll,Match Report,
2,Tue,2000-08-22,,Ipswich Town,1-1,Manchester Utd,,,Jeff Winter,Match Report,
2,Tue,2000-08-22,,Bradford City,2-0,Chelsea,,,Mark Halsey,Match Report,
2,Tue,2000-08-22,,Middlesbrough,1-1,Tottenham,,,Peter Jones,Match Report,
2,Wed,2000-08-23,,Southampton,1-2,Coventry City,,,Paul Taylor,Match Report,
2,Wed,2000-08-23,,Newcastle Utd,3-2,Derby County,,,Dermot Gallagher,Match Report,
2,Wed,2000-08-23,,Manchester City,4-2,Sunderland,,,David Elleray,Match Report,
2,Wed,2000-08-23,,West Ham,0-1,Leicester City,,,Rob Styles,Match Report,
2,Wed,2000-08-23,,Everton,3-0,Charlton Ath,,,Neale Barry,Match Report,
3,Sat,2000-08-26,,Ipswich Town,1-0,Sunderland,,,Graham Poll,Match Report,
3,Sat,2000-08-26,,Bradford City,0-0,Leicester City,,,Stephen Bennett,Match Report,
3,Sat,2000-08-26,,Newcastle Utd,2-0,Tottenham,,,David Elleray,Match Report,
3,Sat,2000-08-26,,Southampton,3-3,Liverpool,,,Jeff Winter,Match Report,
3,Sat,2000-08-26,,Arsenal,5-3,Charlton Ath,,,Stephen Lodge,Match Report,
3,Sat,2000-08-26,,Middlesbrough,1-2,Leeds United,,,Graham Barber,Match Report,
