Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2007-08-11,,Middlesbrough,1-2,Blackburn,,,Andre Marriner,Match Report,
1,Sat,2007-08-11,,Everton,2-1,Wigan Athletic,,,Mark Clattenburg,Match Report,
1,Sat,2007-08-11,,West Ham,0-2,Manchester City,,,Peter Walton,Match Report,
1,Sat,2007-08-11,,Bolton,1-3,Newcastle Utd,,,Chris Foy,Match Report,
1,Sat,2007-08-11,,Aston Villa,1-2,Liverpool,,,Mike Riley,Match Report,
1,Sat,2007-08-11,,Sunderland,1-0,Tottenham,,,Alan Wiley,Match Report,
1,Sat,2007-08-11,,Derby County,2-2,Portsmouth,,,Mike Dean,Match Report,
1,Sun,2007-08-12,,Manchester Utd,0-0,Reading,,,Rob Styles,Match Report,
1,Sun,2007-08-12,,Arsenal,2-1,Fulham,,,Phil Dowd,Match Report,
1,Sun,2007-08-12,,Chelsea,3-2,Birmingham City,,,Stephen Bennett,Match Report,
2,Tue,2007-08-14,,Tottenham,1-3,Everton,,,Mark Halsey,Match Report,
2,Wed,2007-08-15,,Birmingham City,2-2,Sunderland,,,Keith Stroud,Match Report,
2,Wed,2007-08-15,,Portsmouth,1-1,Manchester Utd,,,Stephen Bennett,Match Report,
2,Wed,2007-08-15,,Fulham,2-1,Bolton,,,Lee Probert,Match Report,
2,Wed,2007-08-15,,Manchester City,1-0,Derby County,,,Lee Mason,Match Report,
2,Wed,2007-08-15,,Wigan Athletic,1-0,Middlesbrough,,,Steve Tanner,Match Report,
2,Wed,2007-08-15,,Reading,1-2,Chelsea,,,Mike Dean,Match Report,
3,Sat,2007-08-18,,Birmingham City,0-1,West Ham,,,Mark Halsey,Match Report,
3,Sat,2007-08-18,,Tottenham,4-0,Derby County,,,Chris Foy,Match Report,
3,Sat,2007-08-18,,Portsmouth,3-1,Bolton,,,Steve Tanner,Match Report,
3,Sat,2007-08-18,,Fulham,1-2,Middlesbrough,,,Lee Mason,Match Report,
3,Sat,2007-08-18,,Wigan Athletic,3-0,Sunderland,,,Mike Riley,Match Report,
3,Sat,2007-08-18,,Newcastle Utd,0-0,Aston Villa,,,Howard Webb,Match Report,
3,Sat,2007-08-18,,Reading,1-0,Everton,,,Stephen Bennett,Match Report,
3,Sun,2007-08-19,,Manchester City,1-0,Manchester Utd,,,Mark Clattenburg,Match Report,
3,Sun,2007-08-19,,Liverpool,1-1,Chelsea,,,Rob Styles,Match Report,
