Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1998-08-15,,Blackburn,0-0,Derby County,,,Stephen Lodge,Match Report,
1,Sat,1998-08-15,,Coventry City,2-1,Chelsea,,,Graham Barber,Match Report,
1,Sat,1998-08-15,,Sheffield Weds,0-1,West Ham,,,Paul Durkin,Match Report,
1,Sat,1998-08-15,,Manchester Utd,2-2,Leicester City,,,Neale Barry,Match Report,
1,Sat,1998-08-15,,Newcastle Utd,0-0,Charlton Ath,,,Dermot Gallagher,Match Report,
1,Sat,1998-08-15,,Middlesbrough,0-0,Leeds United,,,David Elleray,Match Report,
1,Sat,1998-08-15,,Wimbledon,3-1,Tottenham,,,Graham Poll,Match Report,
1,Sat,1998-08-15,,Everton,0-0,Aston Villa,,,Alan Wilkie,Match Report,
1,Sun,1998-08-16,,Southampton,1-2,Liverpool,,,Paul Alcock,Match Report,
1,Mon,1998-08-17,,Arsenal,2-1,Nott'ham Forest,,,Mike Riley,Match Report,
2,Sat,1998-08-22,,Derby County,0-0,Wimbledon,,,Jeff Winter,Match Report,
2,Sat,1998-08-22,,Charlton Ath,5-0,Southampton,,,Rob Harris,Match Report,
2,Sat,1998-08-22,,Tottenham,0-3,Sheffield Weds,,,Mike Reed,Match Report,
2,Sat,1998-08-22,,Chelsea,1-1,Newcastle Utd,,,Uriah Rennie,Match Report,
2,Sat,1998-08-22,,Leicester City,2-0,Everton,,,Stephen Lodge,Match Report,
2,Sat,1998-08-22,,West Ham,0-0,Manchester Utd,,,Peter Jones,Match Report,
2,Sat,1998-08-22,,Liverpool,0-0,Arsenal,,,David Elleray,Match Report,
2,Sat,1998-08-22,,Nott'ham Forest,1-0,Coventry City,,,Keith Burge,Match Report,
2,Sun,1998-08-23,,Aston Villa,3-1,Middlesbrough,,,Paul Alcock,Match Report,
2,Mon,1998-08-24,,Leeds United,1-0,Blackburn,,,Dermot Gallagher,Match Report,
3,Sat,1998-08-29,,Arsenal,0-0,Charlton Ath,,,Graham Poll,Match Report,
3,Sat,1998-08-29,,Sheffield Weds,0-1,Aston Villa,,,Keith Burge,Match Report,
3,Sat,1998-08-29,,Coventry City,0-0,West Ham,,,Neale Barry,Match Report,
3,Sat,1998-08-29,,Blackburn,1-0,Leicester City,,,Uriah Rennie,Match Report,
3,Sat,1998-08-29,,Southampton,1-2,Nott'ham Forest,,,Dermot Gallagher,Match Report,
3,Sat,1998-08-29,,Wimbledon,1-1,Leeds United,,,Steve Dunn,Match Report,
3,Sat,1998-08-29,,Everton,0-1,Tottenham,,,Peter Jones,Match Report,
3,Sat,1998-08-29,,Middlesbrough,1-1,Derby County,,,Mike Riley,Match Report,
3,Sun,1998-08-30,,Newcastle Utd,1-4,Liverpool,,,Graham Barber,Match Report,
4,Tue,1998-09-08,,Nott'ham Forest,0-2,Everton,,,Rob Harris,Match Report,
4,Tue,1998-09-08,,Manchester Utd,4-1,Charlton Ath,,,Paul Durkin,Match Report,
4,Wed,1998-09-09,,Aston Villa,1-0,Newcastle Utd,,,Graham Poll,Match Report,
4,Wed,1998-09-09,,Tottenham,2-1,Blackburn,,,Paul Alcock,Match Report,
4,Wed,1998-09-09,,Derby County,1-0,Sheffield Weds,,,Peter Jones,Match Report,
4,Wed,1998-09-09,,Liverpool,2-0,Coventry City,,,Dermot Gallagher,Match Report,
4,Wed,1998-09-09,,West Ham,3-4,Wimbledon,,,Graham Barber,Match Report,
4,Wed,1998-09-09,,Leicester City,0-1,Middlesbrough,,,Keith Burge,Match Report,
4,Wed,1998-09-09,,Chelsea,0-0,Arsenal,,,Stephen Lodge,Match Report,
4,Wed,1998-09-09,,Leeds United,3-0,Southampton,,,Alan Wilkie,Match Report,
5,Sat,1998-09-12,,Manchester Utd,2-0,Coventry City,,,Uriah Rennie,Match Report,
5,Sat,1998-09-12,,Aston Villa,2-0,Wimbledon,,,David Elleray,Match Report,
5,Sat,1998-09-12,,Leicester City,1-1,Arsenal,,,Paul Durkin,Match Report,
5,Sat,1998-09-12,,Everton,0-0,Leeds United,,,Neale Barry,Match Report,
5,Sat,1998-09-12,,West Ham,2-1,Liverpool,,,Jeff Winter,Match Report,
5,Sat,1998-09-12,,Sheffield Weds,3-0,Blackburn,,,Alan Wilkie,Match Report,
5,Sat,1998-09-12,,Charlton Ath,1-2,Derby County,,,Mike Reed,Match Report,
5,Sat,1998-09-12,,Newcastle Utd,4-0,Southampton,,,Mike Riley,Match Report,
5,Sat,1998-09-12,,Chelsea,2-1,Nott'ham Forest,,,Paul Alcock,Match Report,
5,Sun,1998-09-13,,Tottenham,0-3,Middlesbrough,,,Steve Dunn,Match Report,
6,Sat,1998-09-19,,Coventry City,1-5,Newcastle Utd,,,Rob Harris,Match Report,
6,Sat,1998-09-19,,Leeds United,0-0,Aston Villa,,,Jeff Winter,Match Report,
6,Sat,1998-09-19,,Middlesbrough,2-2,Everton,,,Dermot Gallagher,Match Report,
6,Sat,1998-09-19,,Wimbledon,2-1,Sheffield Weds,,,Neale Barry,Match Report,
6,Sat,1998-09-19,,Derby County,2-0,Leicester City,,,Graham Poll,Match Report,
6,Sat,1998-09-19,,Southampton,1-1,Tottenham,,,Keith Burge,Match Report,
6,Sat,1998-09-19,,Liverpool,3-3,Charlton Ath,,,Paul Alcock,Match Report,
6,Sat,1998-09-19,,Nott'ham Forest,0-0,West Ham,,,Mike Reed,Match Report,
6,Sun,1998-09-20,,Arsenal,3-0,Manchester Utd,,,Graham Barber,Match Report,
6,Mon,1998-09-21,,Blackburn,3-4,Chelsea,,,Peter Jones,Match Report,
7,Thu,1998-09-24,,Manchester Utd,2-0,Liverpool,,,Peter Jones,Match Report,
7,Sat,1998-09-26,,Tottenham,3-3,Leeds United,,,Paul Durkin,Match Report,
7,Sat,1998-09-26,,Aston Villa,1-0,Derby County,,,Steve Dunn,Match Report,
7,Sat,1998-09-26,,Newcastle Utd,2-0,Nott'ham Forest,,,David Elleray,Match Report,
7,Sat,1998-09-26,,Sheffield Weds,1-0,Arsenal,,,Paul Alcock,Match Report,
7,Sat,1998-09-26,,Chelsea,2-0,Middlesbrough,,,Mike Reed,Match Report,
7,Sat,1998-09-26,,Everton,0-0,Blackburn,,,Mike Riley,Match Report,
7,Sat,1998-09-26,,Charlton Ath,1-1,Coventry City,,,Jeff Winter,Match Report,
7,Sun,1998-09-27,,Leicester City,1-1,Wimbledon,,,Alan Wilkie,Match Report,
7,Mon,1998-09-28,,West Ham,1-0,Southampton,,,Uriah Rennie,Match Report,
8,Sat,1998-10-03,,Blackburn,3-0,West Ham,,,Keith Burge,Match Report,
8,Sat,1998-10-03,,Leeds United,0-1,Leicester City,,,Graham Barber,Match Report,
8,Sat,1998-10-03,,Coventry City,1-2,Aston Villa,,,Stephen Lodge,Match Report,
8,Sat,1998-10-03,,Middlesbrough,4-0,Sheffield Weds,,,Rob Harris,Match Report,
8,Sat,1998-10-03,,Southampton,0-3,Manchester Utd,,,David Elleray,Match Report,
8,Sat,1998-10-03,,Derby County,0-1,Tottenham,,,Dermot Gallagher,Match Report,
8,Sat,1998-10-03,,Wimbledon,1-2,Everton,,,Paul Alcock,Match Report,
8,Sat,1998-10-03,,Nott'ham Forest,0-1,Charlton Ath,,,Peter Jones,Match Report,
8,Sun,1998-10-04,,Arsenal,3-0,Newcastle Utd,,,Mike Reed,Match Report,
8,Sun,1998-10-04,,Liverpool,1-1,Chelsea,,,Graham Poll,Match Report,
9,Sat,1998-10-17,,Newcastle Utd,2-1,Derby County,,,Keith Burge,Match Report,
9,Sat,1998-10-17,,Nott'ham Forest,1-1,Leeds United,,,Alan Wilkie,Match Report,
9,Sat,1998-10-17,,Manchester Utd,5-1,Wimbledon,,,Gary Willard,Match Report,
9,Sat,1998-10-17,,West Ham,0-0,Aston Villa,,,Paul Alcock,Match Report,
9,Sat,1998-10-17,,Everton,0-0,Liverpool,,,Paul Durkin,Match Report,
9,Sat,1998-10-17,,Middlesbrough,2-1,Blackburn,,,Uriah Rennie,Match Report,
9,Sat,1998-10-17,,Chelsea,2-1,Charlton Ath,,,Steve Dunn,Match Report,
9,Sat,1998-10-17,,Arsenal,1-1,Southampton,,,Jeff Winter,Match Report,
9,Sun,1998-10-18,,Coventry City,1-0,Sheffield Weds,,,David Elleray,Match Report,
9,Mon,1998-10-19,,Leicester City,2-1,Tottenham,,,Mike Riley,Match Report,
10,Sat,1998-10-24,,Southampton,2-1,Coventry City,,,Rob Harris,Match Report,
10,Sat,1998-10-24,,Sheffield Weds,0-0,Everton,,,Jeff Winter,Match Report,
10,Sat,1998-10-24,,Aston Villa,1-1,Leicester City,,,Keith Burge,Match Report,
10,Sat,1998-10-24,,Tottenham,2-0,Newcastle Utd,,,Graham Barber,Match Report,
10,Sat,1998-10-24,,Derby County,1-1,Manchester Utd,,,Paul Durkin,Match Report,
10,Sat,1998-10-24,,Charlton Ath,4-2,West Ham,,,Neale Barry,Match Report,
10,Sat,1998-10-24,,Wimbledon,2-2,Middlesbrough,,,Stephen Lodge,Match Report,
10,Sat,1998-10-24,,Liverpool,5-1,Nott'ham Forest,,,Steve Dunn,Match Report,
10,Sun,1998-10-25,,Blackburn,1-2,Arsenal,,,Dermot Gallagher,Match Report,
10,Sun,1998-10-25,,Leeds United,0-0,Chelsea,,,Mike Reed,Match Report,
11,Sat,1998-10-31,,Derby County,2-2,Leeds United,,,Neale Barry,Match Report,
11,Sat,1998-10-31,,Leicester City,1-0,Liverpool,,,Mike Reed,Match Report,
11,Sat,1998-10-31,,Wimbledon,1-1,Blackburn,,,Gary Willard,Match Report,
11,Sat,1998-10-31,,Sheffield Weds,0-0,Southampton,,,Mike Riley,Match Report,
11,Sat,1998-10-31,,Coventry City,0-1,Arsenal,,,Uriah Rennie,Match Report,
11,Sat,1998-10-31,,Everton,1-4,Manchester Utd,,,Peter Jones,Match Report,
11,Sat,1998-10-31,,Newcastle Utd,0-3,West Ham,,,Graham Poll,Match Report,
11,Sun,1998-11-01,,Middlesbrough,1-1,Nott'ham Forest,,,Paul Durkin,Match Report,
11,Mon,1998-11-02,,Tottenham,2-2,Charlton Ath,,,Mike Reed,Match Report,
12,Sat,1998-11-07,,Southampton,3-3,Middlesbrough,,,Paul Alcock,Match Report,
12,Sat,1998-11-07,,Aston Villa,3-2,Tottenham,,,Rob Harris,Match Report,
12,Sat,1998-11-07,,Nott'ham Forest,0-1,Wimbledon,,,Graham Poll,Match Report,
12,Sat,1998-11-07,,Liverpool,1-2,Derby County,,,Uriah Rennie,Match Report,
12,Sat,1998-11-07,,Blackburn,1-2,Coventry City,,,Paul Durkin,Match Report,
12,Sat,1998-11-07,,Charlton Ath,0-0,Leicester City,,,David Elleray,Match Report,
12,Sun,1998-11-08,,Arsenal,1-0,Everton,,,Gary Willard,Match Report,
12,Sun,1998-11-08,,Manchester Utd,0-0,Newcastle Utd,,,Steve Dunn,Match Report,
12,Sun,1998-11-08,,West Ham,1-1,Chelsea,,,Graham Barber,Match Report,
12,Sun,1998-11-08,,Leeds United,2-1,Sheffield Weds,,,Keith Burge,Match Report,
13,Sat,1998-11-14,,Charlton Ath,1-1,Middlesbrough,,,Mike Riley,Match Report,
13,Sat,1998-11-14,,Southampton,1-4,Aston Villa,,,Neale Barry,Match Report,
13,Sat,1998-11-14,,Arsenal,0-0,Tottenham,,,Alan Wilkie,Match Report,
13,Sat,1998-11-14,,Liverpool,1-3,Leeds United,,,Dermot Gallagher,Match Report,
13,Sat,1998-11-14,,West Ham,3-2,Leicester City,,,Stephen Lodge,Match Report,
13,Sat,1998-11-14,,Chelsea,3-0,Wimbledon,,,Jeff Winter,Match Report,
13,Sat,1998-11-14,,Manchester Utd,3-2,Blackburn,,,Mike Reed,Match Report,
13,Sat,1998-11-14,,Newcastle Utd,1-1,Sheffield Weds,,,Peter Jones,Match Report,
13,Sun,1998-11-15,,Coventry City,3-0,Everton,,,Graham Poll,Match Report,
13,Mon,1998-11-16,,Nott'ham Forest,2-2,Derby County,,,Graham Barber,Match Report,
14,Sat,1998-11-21,,Wimbledon,1-0,Arsenal,,,Mike Riley,Match Report,
14,Sat,1998-11-21,,Blackburn,0-2,Southampton,,,Steve Dunn,Match Report,
14,Sat,1998-11-21,,Leicester City,2-4,Chelsea,,,Paul Durkin,Match Report,
14,Sat,1998-11-21,,Sheffield Weds,3-1,Manchester Utd,,,David Elleray,Match Report,
14,Sat,1998-11-21,,Tottenham,2-0,Nott'ham Forest,,,Stephen Lodge,Match Report,
14,Sat,1998-11-21,,Leeds United,4-1,Charlton Ath,,,Rob Harris,Match Report,
14,Sat,1998-11-21,,Aston Villa,2-4,Liverpool,,,Peter Jones,Match Report,
14,Sat,1998-11-21,,Middlesbrough,2-0,Coventry City,,,Gary Willard,Match Report,
14,Sun,1998-11-22,,Derby County,0-2,West Ham,,,Alan Wilkie,Match Report,
14,Mon,1998-11-23,,Everton,1-0,Newcastle Utd,,,Neale Barry,Match Report,
15,Sat,1998-11-28,,Newcastle Utd,3-1,Wimbledon,,,Uriah Rennie,Match Report,
15,Sat,1998-11-28,,Southampton,0-1,Derby County,,,Stephen Lodge,Match Report,
15,Sat,1998-11-28,,West Ham,2-1,Tottenham,,,Dermot Gallagher,Match Report,
15,Sat,1998-11-28,,Coventry City,1-1,Leicester City,,,Mike Riley,Match Report,
15,Sat,1998-11-28,,Charlton Ath,1-2,Everton,,,Keith Burge,Match Report,
15,Sat,1998-11-28,,Nott'ham Forest,2-2,Aston Villa,,,Gary Willard,Match Report,
15,Sat,1998-11-28,,Chelsea,1-1,Sheffield Weds,,,Neale Barry,Match Report,
15,Sun,1998-11-29,,Manchester Utd,3-2,Leeds United,,,Graham Poll,Match Report,
15,Sun,1998-11-29,,Liverpool,2-0,Blackburn,,,Jeff Winter,Match Report,
15,Sun,1998-11-29,,Arsenal,1-1,Middlesbrough,,,Graham Barber,Match Report,
16,Sat,1998-12-05,,Leeds United,4-0,West Ham,,,Jeff Winter,Match Report,
16,Sat,1998-12-05,,Tottenham,2-1,Liverpool,,,Graham Barber,Match Report,
16,Sat,1998-12-05,,Derby County,0-0,Arsenal,,,Mike Reed,Match Report,
16,Sat,1998-12-05,,Leicester City,2-0,Southampton,,,Dermot Gallagher,Match Report,
16,Sat,1998-12-05,,Wimbledon,2-1,Coventry City,,,Steve Dunn,Match Report,
16,Sat,1998-12-05,,Blackburn,1-0,Charlton Ath,,,Graham Poll,Match Report,
16,Sat,1998-12-05,,Everton,0-0,Chelsea,,,Gary Willard,Match Report,
16,Sat,1998-12-05,,Aston Villa,1-1,Manchester Utd,,,Mike Riley,Match Report,
16,Sun,1998-12-06,,Middlesbrough,2-2,Newcastle Utd,,,Uriah Rennie,Match Report,
16,Mon,1998-12-07,,Sheffield Weds,3-2,Nott'ham Forest,,,Rob Harris,Match Report,
11,Wed,1998-12-09,,Chelsea,2-1,Aston Villa,,,Alan Wilkie,Match Report,
17,Sat,1998-12-12,,Blackburn,0-0,Newcastle Utd,,,Rob Harris,Match Report,
17,Sat,1998-12-12,,Tottenham,2-2,Manchester Utd,,,Uriah Rennie,Match Report,
