Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1997-08-09,,Coventry City,3-2,Chelsea,,,Paul Durkin,Match Report,
1,Sat,1997-08-09,,Leicester City,1-0,Aston Villa,,,Stephen Lodge,Match Report,
1,Sat,1997-08-09,,Blackburn,1-0,Derby County,,,David Elleray,Match Report,
1,Sat,1997-08-09,,Southampton,0-1,Bolton,,,Martin Bodenham,Match Report,
1,Sat,1997-08-09,,Newcastle Utd,2-1,Sheffield Weds,,,Peter Jones,Match Report,
1,Sat,1997-08-09,,Leeds United,1-1,Arsenal,,,Dermot Gallagher,Match Report,
1,Sat,1997-08-09,,Everton,1-2,Crystal Palace,,,Steve Dunn,Match Report,
1,Sat,1997-08-09,,Barnsley,1-2,West Ham,,,Alan Wilkie,Match Report,
1,Sat,1997-08-09,,Wimbledon,1-1,Liverpool,,,Gary Willard,Match Report,
1,Sun,1997-08-10,,Tottenham,0-2,Manchester Utd,,,Graham Poll,Match Report,
2,Mon,1997-08-11,,Arsenal,2-0,Coventry City,,,Keith Burge,Match Report,
2,Tue,1997-08-12,,Crystal Palace,0-1,Barnsley,,,Neale Barry,Match Report,
2,Wed,1997-08-13,,Manchester Utd,1-0,Southampton,,,Graham Barber,Match Report,
2,Wed,1997-08-13,,Aston Villa,0-4,Blackburn,,,Paul Alcock,Match Report,
2,Wed,1997-08-13,,Liverpool,1-2,Leicester City,,,Jeff Winter,Match Report,
2,Wed,1997-08-13,,West Ham,2-1,Tottenham,,,Stephen Lodge,Match Report,
2,Wed,1997-08-13,,Sheffield Weds,1-3,Leeds United,,,Paul Durkin,Match Report,
3,Sat,1997-08-23,,Leicester City,0-0,Manchester Utd,,,Dermot Gallagher,Match Report,
3,Sat,1997-08-23,,Newcastle Utd,1-0,Aston Villa,,,Gary Willard,Match Report,
3,Sat,1997-08-23,,Blackburn,1-1,Liverpool,,,Stephen Lodge,Match Report,
3,Sat,1997-08-23,,Southampton,1-3,Arsenal,,,David Elleray,Match Report,
3,Sat,1997-08-23,,Tottenham,1-0,Derby County,,,Martin Bodenham,Match Report,
3,Sat,1997-08-23,,Coventry City,2-2,Bolton,,,Mike Riley,Match Report,
3,Sat,1997-08-23,,Wimbledon,1-1,Sheffield Weds,,,Alan Wilkie,Match Report,
3,Sat,1997-08-23,,Leeds United,0-2,Crystal Palace,,,Uriah Rennie,Match Report,
3,Sat,1997-08-23,,Everton,2-1,West Ham,,,Peter Jones,Match Report,
3,Sun,1997-08-24,,Barnsley,0-6,Chelsea,,,Graham Poll,Match Report,
4,Mon,1997-08-25,,Blackburn,7-2,Sheffield Weds,,,Jeff Winter,Match Report,
4,Tue,1997-08-26,,Leeds United,0-2,Liverpool,,,Alan Wilkie,Match Report,
4,Wed,1997-08-27,,Tottenham,3-2,Aston Villa,,,Mike Riley,Match Report,
4,Wed,1997-08-27,,Barnsley,2-1,Bolton,,,Dermot Gallagher,Match Report,
4,Wed,1997-08-27,,Leicester City,3-3,Arsenal,,,Graham Barber,Match Report,
4,Wed,1997-08-27,,Southampton,1-0,Crystal Palace,,,Jeff Winter,Match Report,
4,Wed,1997-08-27,,Coventry City,1-1,West Ham,,,Neale Barry,Match Report,
4,Wed,1997-08-27,,Everton,0-2,Manchester Utd,,,Keith Burge,Match Report,
4,Wed,1997-08-27,,Wimbledon,0-2,Chelsea,,,Martin Bodenham,Match Report,
5,Sat,1997-08-30,,Crystal Palace,1-2,Blackburn,,,Keith Burge,Match Report,
5,Sat,1997-08-30,,Chelsea,4-2,Southampton,,,Alan Wilkie,Match Report,
5,Sat,1997-08-30,,Derby County,1-0,Barnsley,,,Paul Durkin,Match Report,
