Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1992-08-15,,Southampton,0-0,Tottenham,,,Vic Callow,Match Report,
1,Sat,1992-08-15,,Coventry City,2-1,Middlesbrough,,,Howard King,Match Report,
1,Sat,1992-08-15,,Sheffield Utd,2-1,Manchester Utd,,,Brian Hill,Match Report,
1,Sat,1992-08-15,,Arsenal,2-4,Norwich City,,,Alan Gunn,Match Report,
1,Sat,1992-08-15,,Crystal Palace,3-3,Blackburn,,,Roger Milford,Match Report,
1,Sat,1992-08-15,,Chelsea,1-1,Oldham Athletic,,,Jim Borrett,Match Report,
1,Sat,1992-08-15,,Leeds United,2-1,Wimbledon,,,Gerald Ashby,Match Report,
1,Sat,1992-08-15,,Ipswich Town,1-1,Aston Villa,,,Alf Buksh,Match Report,
1,Sat,1992-08-15,,Everton,1-1,Sheffield Weds,,,Kelvin Morton,Match Report,
1,Sun,1992-08-16,,Nott'ham Forest,1-0,Liverpool,,,Mike Reed,Match Report,
1,Mon,1992-08-17,,Manchester City,1-1,QPR,,,Martin Bodenham,Match Report,
2,Tue,1992-08-18,,Wimbledon,0-1,Ipswich Town,,,Robbie Hart,Match Report,
2,Tue,1992-08-18,,Blackburn,1-0,Arsenal,,,Joe Worrall,Match Report,
2,Wed,1992-08-19,,Sheffield Weds,2-0,Nott'ham Forest,,,Philip Don,Match Report,
2,Wed,1992-08-19,,Oldham Athletic,1-1,Crystal Palace,,,Mike Peck,Match Report,
2,Wed,1992-08-19,,Aston Villa,1-1,Leeds United,,,Keith Hackett,Match Report,
2,Wed,1992-08-19,,QPR,3-1,Southampton,,,Ray Bigger,Match Report,
2,Wed,1992-08-19,,Norwich City,2-1,Chelsea,,,Gerald Ashby,Match Report,
2,Wed,1992-08-19,,Middlesbrough,2-0,Manchester City,,,Stephen Lodge,Match Report,
2,Wed,1992-08-19,,Liverpool,2-1,Sheffield Utd,,,David Elleray,Match Report,
2,Wed,1992-08-19,,Tottenham,0-2,Coventry City,,,Dermot Gallagher,Match Report,
2,Wed,1992-08-19,,Manchester Utd,0-3,Everton,,,Keren Barratt,Match Report,
3,Sat,1992-08-22,,Wimbledon,1-2,Coventry City,,,Jim Borrett,Match Report,
3,Sat,1992-08-22,,Manchester Utd,1-1,Ipswich Town,,,Gerald Ashby,Match Report,
