Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sat,2006-12-02,,Reading,1-0,Bolton,,,Alan Wiley,Match Report,
16,Sun,2006-12-03,,Everton,2-0,West Ham,,,Martin Atkinson,Match Report,
16,Mon,2006-12-04,,Manchester City,0-0,Watford,,,Mark Clattenburg,Match Report,
15,Tue,2006-12-05,,Tottenham,2-1,Middlesbrough,,,Mark Halsey,Match Report,
15,Tue,2006-12-05,,Charlton Ath,1-0,Blackburn,,,Chris Foy,Match Report,
15,Wed,2006-12-06,,West Ham,0-2,Wigan Athletic,,,Alan Wiley,Match Report,
15,Wed,2006-12-06,,Newcastle Utd,3-2,Reading,,,Rob Styles,Match Report,
17,Sat,2006-12-09,,Middlesbrough,1-1,Wigan Athletic,,,Stephen Bennett,Match Report,
17,Sat,2006-12-09,,Portsmouth,2-0,Everton,,,Mark Clattenburg,Match Report,
17,Sat,2006-12-09,,Liverpool,4-0,Fulham,,,Uriah Rennie,Match Report,
17,Sat,2006-12-09,,Tottenham,5-1,Charlton Ath,,,Mike Dean,Match Report,
17,Sat,2006-12-09,,Bolton,4-0,West Ham,,,Howard Webb,Match Report,
17,Sat,2006-12-09,,Blackburn,1-3,Newcastle Utd,,,Dermot Gallagher,Match Report,
17,Sat,2006-12-09,,Manchester Utd,3-1,Manchester City,,,Graham Poll,Match Report,
17,Sat,2006-12-09,,Watford,0-0,Reading,,,Chris Foy,Match Report,
17,Sun,2006-12-10,,Chelsea,1-1,Arsenal,,,Alan Wiley,Match Report,
17,Mon,2006-12-11,,Sheffield Utd,2-2,Aston Villa,,,Mark Halsey,Match Report,
2,Wed,2006-12-13,,Wigan Athletic,0-1,Arsenal,,,Rob Styles,Match Report,
16,Wed,2006-12-13,,Chelsea,1-0,Newcastle Utd,,,Phil Dowd,Match Report,
18,Sat,2006-12-16,,Charlton Ath,0-3,Liverpool,,,Howard Webb,Match Report,
18,Sat,2006-12-16,,Wigan Athletic,0-1,Sheffield Utd,,,Peter Walton,Match Report,
18,Sat,2006-12-16,,Reading,1-2,Blackburn,,,Graham Poll,Match Report,
18,Sat,2006-12-16,,Aston Villa,0-1,Bolton,,,Mark Clattenburg,Match Report,
18,Sat,2006-12-16,,Arsenal,2-2,Portsmouth,,,Stephen Bennett,Match Report,
18,Sat,2006-12-16,,Newcastle Utd,2-1,Watford,,,Martin Atkinson,Match Report,
18,Sun,2006-12-17,,Everton,2-3,Chelsea,,,Mark Halsey,Match Report,
18,Sun,2006-12-17,,West Ham,1-0,Manchester Utd,,,Phil Dowd,Match Report,
18,Sun,2006-12-17,,Manchester City,1-2,Tottenham,,,Rob Styles,Match Report,
18,Mon,2006-12-18,,Fulham,2-1,Middlesbrough,,,Mike Dean,Match Report,
19,Sat,2006-12-23,,Fulham,0-0,West Ham,,,Chris Foy,Match Report,
19,Sat,2006-12-23,,Liverpool,2-0,Watford,,,Phil Dowd,Match Report,
19,Sat,2006-12-23,,Portsmouth,3-1,Sheffield Utd,,,Graham Poll,Match Report,
19,Sat,2006-12-23,,Arsenal,6-2,Blackburn,,,Howard Webb,Match Report,
19,Sat,2006-12-23,,Newcastle Utd,3-1,Tottenham,,,Alan Wiley,Match Report,
19,Sat,2006-12-23,,Reading,0-2,Everton,,,Steve Tanner,Match Report,
19,Sat,2006-12-23,,Middlesbrough,2-0,Charlton Ath,,,Rob Styles,Match Report,
19,Sat,2006-12-23,,Wigan Athletic,2-3,Chelsea,,,Mike Dean,Match Report,
19,Sat,2006-12-23,,Aston Villa,0-3,Manchester Utd,,,Stephen Bennett,Match Report,
19,Sat,2006-12-23,,Manchester City,0-2,Bolton,,,Mike Riley,Match Report,
20,Tue,2006-12-26,,Bolton,2-1,Newcastle Utd,,,Howard Webb,Match Report,
20,Tue,2006-12-26,,Everton,0-0,Middlesbrough,,,Phil Dowd,Match Report,
20,Tue,2006-12-26,,Watford,1-2,Arsenal,,,Mike Dean,Match Report,
20,Tue,2006-12-26,,West Ham,1-2,Portsmouth,,,Martin Atkinson,Match Report,
20,Tue,2006-12-26,,Chelsea,2-2,Reading,,,Alan Wiley,Match Report,
20,Tue,2006-12-26,,Sheffield Utd,0-1,Manchester City,,,Mark Clattenburg,Match Report,
20,Tue,2006-12-26,,Manchester Utd,3-1,Wigan Athletic,,,Mike Riley,Match Report,
20,Tue,2006-12-26,,Blackburn,1-0,Liverpool,,,Rob Styles,Match Report,
20,Tue,2006-12-26,,Tottenham,2-1,Aston Villa,,,Uriah Rennie,Match Report,
20,Wed,2006-12-27,,Charlton Ath,2-2,Fulham,,,Graham Poll,Match Report,
21,Sat,2006-12-30,,Charlton Ath,2-1,Aston Villa,,,Rob Styles,Match Report,
21,Sat,2006-12-30,,Sheffield Utd,1-0,Arsenal,,,Lee Mason,Match Report,
21,Sat,2006-12-30,,Everton,3-0,Newcastle Utd,,,Dermot Gallagher,Match Report,
21,Sat,2006-12-30,,Chelsea,2-2,Fulham,,,Howard Webb,Match Report,
21,Sat,2006-12-30,,Manchester Utd,3-2,Reading,,,Mike Dean,Match Report,
21,Sat,2006-12-30,,West Ham,0-1,Manchester City,,,Stephen Bennett,Match Report,
21,Sat,2006-12-30,,Bolton,3-2,Portsmouth,,,Peter Walton,Match Report,
21,Sat,2006-12-30,,Tottenham,0-1,Liverpool,,,Mark Halsey,Match Report,
21,Sat,2006-12-30,,Blackburn,2-1,Middlesbrough,,,Martin Atkinson,Match Report,
22,Mon,2007-01-01,,Manchester City,2-1,Everton,,,Uriah Rennie,Match Report,
22,Mon,2007-01-01,,Middlesbrough,3-1,Sheffield Utd,,,Chris Foy,Match Report,
22,Mon,2007-01-01,,Newcastle Utd,2-2,Manchester Utd,,,Rob Styles,Match Report,
22,Mon,2007-01-01,,Wigan Athletic,0-3,Blackburn,,,Mark Clattenburg,Match Report,
22,Mon,2007-01-01,,Portsmouth,1-1,Tottenham,,,Andre Marriner,Match Report,
22,Mon,2007-01-01,,Reading,6-0,West Ham,,,Lee Mason,Match Report,
22,Mon,2007-01-01,,Liverpool,3-0,Bolton,,,Graham Poll,Match Report,
22,Mon,2007-01-01,,Fulham,0-0,Watford,,,Stephen Bennett,Match Report,
22,Tue,2007-01-02,,Arsenal,4-0,Charlton Ath,,,Mike Riley,Match Report,
22,Tue,2007-01-02,,Aston Villa,0-0,Chelsea,,,Phil Dowd,Match Report,
23,Sat,2007-01-13,,West Ham,3-3,Fulham,,,Graham Poll,Match Report,
23,Sat,2007-01-13,,Sheffield Utd,1-1,Portsmouth,,,Lee Probert,Match Report,
23,Sat,2007-01-13,,Watford,0-3,Liverpool,,,Mark Clattenburg,Match Report,
23,Sat,2007-01-13,,Charlton Ath,1-3,Middlesbrough,,,Mike Dean,Match Report,
23,Sat,2007-01-13,,Chelsea,4-0,Wigan Athletic,,,Martin Atkinson,Match Report,
23,Sat,2007-01-13,,Manchester Utd,3-1,Aston Villa,,,Howard Webb,Match Report,
23,Sat,2007-01-13,,Bolton,0-0,Manchester City,,,Andre Marriner,Match Report,
23,Sat,2007-01-13,,Blackburn,0-2,Arsenal,,,Chris Foy,Match Report,
23,Sun,2007-01-14,,Everton,1-1,Reading,,,Mike Riley,Match Report,
23,Sun,2007-01-14,,Tottenham,2-3,Newcastle Utd,,,Stephen Bennett,Match Report,
24,Sat,2007-01-20,,Aston Villa,2-0,Watford,,,Peter Walton,Match Report,
24,Sat,2007-01-20,,Manchester City,0-3,Blackburn,,,Phil Dowd,Match Report,
24,Sat,2007-01-20,,Fulham,1-1,Tottenham,,,Mike Dean,Match Report,
24,Sat,2007-01-20,,Middlesbrough,5-1,Bolton,,,Alan Wiley,Match Report,
24,Sat,2007-01-20,,Reading,3-1,Sheffield Utd,,,Mark Halsey,Match Report,
24,Sat,2007-01-20,,Newcastle Utd,2-2,West Ham,,,Uriah Rennie,Match Report,
24,Sat,2007-01-20,,Liverpool,2-0,Chelsea,,,Rob Styles,Match Report,
24,Sat,2007-01-20,,Portsmouth,0-1,Charlton Ath,,,Mark Clattenburg,Match Report,
24,Sun,2007-01-21,,Wigan Athletic,0-2,Everton,,,Howard Webb,Match Report,
24,Sun,2007-01-21,,Arsenal,2-1,Manchester Utd,,,Stephen Bennett,Match Report,
14,Tue,2007-01-23,,Watford,2-1,Blackburn,,,Dermot Gallagher,Match Report,
25,Tue,2007-01-30,,Reading,3-2,Wigan Athletic,,,Stephen Bennett,Match Report,
25,Tue,2007-01-30,,Sheffield Utd,2-0,Fulham,,,Lee Mason,Match Report,
25,Tue,2007-01-30,,Portsmouth,0-0,Middlesbrough,,,Dermot Gallagher,Match Report,
25,Tue,2007-01-30,,West Ham,1-2,Liverpool,,,Martin Atkinson,Match Report,
25,Wed,2007-01-31,,Bolton,1-1,Charlton Ath,,,Lee Probert,Match Report,
25,Wed,2007-01-31,,Chelsea,3-0,Blackburn,,,Graham Poll,Match Report,
25,Wed,2007-01-31,,Newcastle Utd,3-1,Aston Villa,,,Howard Webb,Match Report,
25,Wed,2007-01-31,,Manchester Utd,4-0,Watford,,,Mike Dean,Match Report,
26,Sat,2007-02-03,,Liverpool,0-0,Everton,,,Alan Wiley,Match Report,
26,Sat,2007-02-03,,Charlton Ath,0-1,Chelsea,,,Mark Halsey,Match Report,
26,Sat,2007-02-03,,Watford,0-1,Bolton,,,Rob Styles,Match Report,
26,Sat,2007-02-03,,Wigan Athletic,1-0,Portsmouth,,,Graham Poll,Match Report,
26,Sat,2007-02-03,,Middlesbrough,1-1,Arsenal,,,Mike Riley,Match Report,
26,Sat,2007-02-03,,Aston Villa,1-0,West Ham,,,Chris Foy,Match Report,
26,Sat,2007-02-03,,Manchester City,0-2,Reading,,,Howard Webb,Match Report,
26,Sat,2007-02-03,,Fulham,2-1,Newcastle Utd,,,Phil Dowd,Match Report,
26,Sat,2007-02-03,,Blackburn,2-1,Sheffield Utd,,,Andre Marriner,Match Report,
26,Sun,2007-02-04,,Tottenham,0-4,Manchester Utd,,,Mark Clattenburg,Match Report,
27,Sat,2007-02-10,,Sheffield Utd,2-1,Tottenham,,,Martin Atkinson,Match Report,
27,Sat,2007-02-10,,Chelsea,3-0,Middlesbrough,,,Chris Foy,Match Report,
27,Sat,2007-02-10,,Manchester Utd,2-0,Charlton Ath,,,Mike Riley,Match Report,
27,Sat,2007-02-10,,West Ham,0-1,Watford,,,Alan Wiley,Match Report,
27,Sat,2007-02-10,,Portsmouth,2-1,Manchester City,,,Mike Dean,Match Report,
27,Sat,2007-02-10,,Everton,1-0,Blackburn,,,Rob Styles,Match Report,
27,Sat,2007-02-10,,Newcastle Utd,2-1,Liverpool,,,Mark Halsey,Match Report,
27,Sat,2007-02-10,,Reading,2-0,Aston Villa,,,Mark Clattenburg,Match Report,
27,Sun,2007-02-11,,Bolton,2-1,Fulham,,,Howard Webb,Match Report,
27,Sun,2007-02-11,,Arsenal,2-1,Wigan Athletic,,,Phil Dowd,Match Report,
21,Wed,2007-02-21,,Watford,1-1,Wigan Athletic,,,Rob Styles,Match Report,
25,Wed,2007-02-21,,Everton,1-2,Tottenham,,,Uriah Rennie,Match Report,
28,Sat,2007-02-24,,Fulham,1-2,Manchester Utd,,,Peter Walton,Match Report,
28,Sat,2007-02-24,,Liverpool,4-0,Sheffield Utd,,,Stephen Bennett,Match Report,
28,Sat,2007-02-24,,Charlton Ath,4-0,West Ham,,,Rob Styles,Match Report,
28,Sat,2007-02-24,,Watford,0-3,Everton,,,Lee Mason,Match Report,
28,Sat,2007-02-24,,Middlesbrough,2-1,Reading,,,Mark Halsey,Match Report,
28,Sun,2007-02-25,,Tottenham,4-1,Bolton,,,Graham Poll,Match Report,
28,Sun,2007-02-25,,Wigan Athletic,1-0,Newcastle Utd,,,Alan Wiley,Match Report,
28,Sun,2007-02-25,,Blackburn,3-0,Portsmouth,,,Mark Clattenburg,Match Report,
29,Sat,2007-03-03,,Newcastle Utd,0-0,Middlesbrough,,,Stephen Bennett,Match Report,
29,Sat,2007-03-03,,Portsmouth,0-2,Chelsea,,,Mark Halsey,Match Report,
29,Sat,2007-03-03,,Arsenal,2-1,Reading,,,Chris Foy,Match Report,
29,Sat,2007-03-03,,Manchester City,0-1,Wigan Athletic,,,Howard Webb,Match Report,
29,Sat,2007-03-03,,Fulham,1-1,Aston Villa,,,Lee Mason,Match Report,
29,Sat,2007-03-03,,Liverpool,0-1,Manchester Utd,,,Martin Atkinson,Match Report,
29,Sat,2007-03-03,,Watford,2-2,Charlton Ath,,,Peter Walton,Match Report,
29,Sat,2007-03-03,,Sheffield Utd,1-1,Everton,,,Mike Riley,Match Report,
29,Sun,2007-03-04,,Bolton,1-2,Blackburn,,,Rob Styles,Match Report,
29,Sun,2007-03-04,,West Ham,3-4,Tottenham,,,Mike Dean,Match Report,
28,Wed,2007-03-14,,Aston Villa,0-1,Arsenal,,,Martin Atkinson,Match Report,
28,Wed,2007-03-14,,Manchester City,0-1,Chelsea,,,Alan Wiley,Match Report,
30,Sat,2007-03-17,,Tottenham,3-1,Watford,,,Mark Halsey,Match Report,
30,Sat,2007-03-17,,Blackburn,1-2,West Ham,,,Howard Webb,Match Report,
30,Sat,2007-03-17,,Manchester Utd,4-1,Bolton,,,Alan Wiley,Match Report,
30,Sat,2007-03-17,,Middlesbrough,0-2,Manchester City,,,Keith Stroud,Match Report,
30,Sat,2007-03-17,,Wigan Athletic,0-0,Fulham,,,Steve Tanner,Match Report,
30,Sat,2007-03-17,,Chelsea,3-0,Sheffield Utd,,,Chris Foy,Match Report,
30,Sat,2007-03-17,,Reading,0-0,Portsmouth,,,Stephen Bennett,Match Report,
30,Sun,2007-03-18,,Charlton Ath,2-0,Newcastle Utd,,,Dermot Gallagher,Match Report,
