Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2006-08-19,,Bolton,2-0,Tottenham,,,Phil Dowd,Match Report,
1,Sat,2006-08-19,,Everton,2-1,Watford,,,Peter Walton,Match Report,
1,Sat,2006-08-19,,Reading,3-2,Middlesbrough,,,Mark Halsey,Match Report,
1,Sat,2006-08-19,,Arsenal,1-1,Aston Villa,,,Graham Poll,Match Report,
1,Sat,2006-08-19,,West Ham,3-1,Charlton Ath,,,Howard Webb,Match Report,
1,Sat,2006-08-19,,Newcastle Utd,2-1,Wigan Athletic,,,Martin Atkinson,Match Report,
1,Sat,2006-08-19,,Portsmouth,3-0,Blackburn,,,Alan Wiley,Match Report,
1,Sat,2006-08-19,,Sheffield Utd,1-1,Liverpool,,,Rob Styles,Match Report,
1,Sun,2006-08-20,,Chelsea,3-0,Manchester City,,,Stephen Bennett,Match Report,
1,Sun,2006-08-20,,Manchester Utd,5-1,Fulham,,,Andre Marriner,Match Report,
2,Tue,2006-08-22,,Watford,1-1,West Ham,,,Martin Atkinson,Match Report,
2,Tue,2006-08-22,,Tottenham,2-0,Sheffield Utd,,,Peter Walton,Match Report,
2,Wed,2006-08-23,,Middlesbrough,2-1,Chelsea,,,Howard Webb,Match Report,
2,Wed,2006-08-23,,Fulham,1-1,Bolton,,,Alan Wiley,Match Report,
2,Wed,2006-08-23,,Aston Villa,2-1,Reading,,,Lee Mason,Match Report,
2,Wed,2006-08-23,,Blackburn,1-1,Everton,,,Uriah Rennie,Match Report,
2,Wed,2006-08-23,,Charlton Ath,0-3,Manchester Utd,,,Chris Foy,Match Report,
2,Wed,2006-08-23,,Manchester City,0-0,Portsmouth,,,Dermot Gallagher,Match Report,
3,Sat,2006-08-26,,Tottenham,0-2,Everton,,,Mark Halsey,Match Report,
3,Sat,2006-08-26,,Watford,1-2,Manchester Utd,,,Phil Dowd,Match Report,
3,Sat,2006-08-26,,Manchester City,1-0,Arsenal,,,Uriah Rennie,Match Report,
3,Sat,2006-08-26,,Wigan Athletic,1-0,Reading,,,Mike Riley,Match Report,
3,Sat,2006-08-26,,Liverpool,2-1,West Ham,,,Alan Wiley,Match Report,
3,Sat,2006-08-26,,Fulham,1-0,Sheffield Utd,,,Graham Poll,Match Report,
3,Sat,2006-08-26,,Charlton Ath,2-0,Bolton,,,Mike Dean,Match Report,
3,Sun,2006-08-27,,Aston Villa,2-0,Newcastle Utd,,,Howard Webb,Match Report,
3,Sun,2006-08-27,,Blackburn,0-2,Chelsea,,,Andre Marriner,Match Report,
3,Mon,2006-08-28,,Middlesbrough,0-4,Portsmouth,,,Chris Foy,Match Report,
4,Sat,2006-09-09,,Newcastle Utd,1-2,Fulham,,,Chris Foy,Match Report,
4,Sat,2006-09-09,,Chelsea,2-1,Charlton Ath,,,Alan Wiley,Match Report,
4,Sat,2006-09-09,,Bolton,1-0,Watford,,,Mark Clattenburg,Match Report,
4,Sat,2006-09-09,,Everton,3-0,Liverpool,,,Graham Poll,Match Report,
4,Sat,2006-09-09,,Arsenal,1-1,Middlesbrough,,,Rob Styles,Match Report,
4,Sat,2006-09-09,,Manchester Utd,1-0,Tottenham,,,Mike Riley,Match Report,
4,Sat,2006-09-09,,Portsmouth,1-0,Wigan Athletic,,,Peter Walton,Match Report,
4,Sat,2006-09-09,,Sheffield Utd,0-0,Blackburn,,,Mike Dean,Match Report,
4,Sun,2006-09-10,,West Ham,1-1,Aston Villa,,,Stephen Bennett,Match Report,
4,Mon,2006-09-11,,Reading,1-0,Manchester City,,,Howard Webb,Match Report,
5,Sat,2006-09-16,,Everton,2-2,Wigan Athletic,,,Alan Wiley,Match Report,
5,Sat,2006-09-16,,Charlton Ath,0-1,Portsmouth,,,Phil Dowd,Match Report,
5,Sat,2006-09-16,,Sheffield Utd,1-2,Reading,,,Andre Marriner,Match Report,
5,Sat,2006-09-16,,Bolton,0-0,Middlesbrough,,,Stephen Bennett,Match Report,
5,Sat,2006-09-16,,Watford,0-0,Aston Villa,,,Mike Dean,Match Report,
5,Sun,2006-09-17,,Blackburn,4-2,Manchester City,,,Martin Atkinson,Match Report,
5,Sun,2006-09-17,,Chelsea,1-0,Liverpool,,,Mike Riley,Match Report,
5,Sun,2006-09-17,,West Ham,0-2,Newcastle Utd,,,Rob Styles,Match Report,
5,Sun,2006-09-17,,Tottenham,0-0,Fulham,,,Mark Clattenburg,Match Report,
5,Sun,2006-09-17,,Manchester Utd,0-1,Arsenal,,,Graham Poll,Match Report,
2,Wed,2006-09-20,,Liverpool,2-0,Newcastle Utd,,,Mark Halsey,Match Report,
6,Sat,2006-09-23,,Arsenal,3-0,Sheffield Utd,,,Alan Wiley,Match Report,
6,Sat,2006-09-23,,Manchester City,2-0,West Ham,,,Chris Foy,Match Report,
6,Sat,2006-09-23,,Aston Villa,2-0,Charlton Ath,,,Mike Riley,Match Report,
6,Sat,2006-09-23,,Wigan Athletic,1-1,Watford,,,Rob Styles,Match Report,
6,Sat,2006-09-23,,Liverpool,3-0,Tottenham,,,Howard Webb,Match Report,
6,Sat,2006-09-23,,Middlesbrough,0-1,Blackburn,,,Graham Poll,Match Report,
6,Sat,2006-09-23,,Fulham,0-2,Chelsea,,,Mark Halsey,Match Report,
6,Sat,2006-09-23,,Reading,1-1,Manchester Utd,,,Peter Walton,Match Report,
6,Sun,2006-09-24,,Newcastle Utd,1-1,Everton,,,Stephen Bennett,Match Report,
6,Mon,2006-09-25,,Portsmouth,0-1,Bolton,,,Uriah Rennie,Match Report,
7,Sat,2006-09-30,,Everton,1-1,Manchester City,,,Andre Marriner,Match Report,
7,Sat,2006-09-30,,Bolton,2-0,Liverpool,,,Phil Dowd,Match Report,
7,Sat,2006-09-30,,Chelsea,1-1,Aston Villa,,,Graham Poll,Match Report,
7,Sat,2006-09-30,,Sheffield Utd,2-1,Middlesbrough,,,Peter Walton,Match Report,
7,Sat,2006-09-30,,Charlton Ath,1-2,Arsenal,,,Mark Clattenburg,Match Report,
7,Sun,2006-10-01,,West Ham,0-1,Reading,,,Uriah Rennie,Match Report,
7,Sun,2006-10-01,,Tottenham,2-1,Portsmouth,,,Chris Foy,Match Report,
7,Sun,2006-10-01,,Blackburn,2-1,Wigan Athletic,,,Howard Webb,Match Report,
7,Sun,2006-10-01,,Manchester Utd,2-0,Newcastle Utd,,,Mike Dean,Match Report,
7,Mon,2006-10-02,,Watford,3-3,Fulham,,,Mike Riley,Match Report,
8,Sat,2006-10-14,,Reading,0-1,Chelsea,,,Mike Riley,Match Report,
8,Sat,2006-10-14,,Middlesbrough,2-1,Everton,,,Mark Halsey,Match Report,
8,Sat,2006-10-14,,Portsmouth,2-0,West Ham,,,Graham Poll,Match Report,
8,Sat,2006-10-14,,Manchester City,0-0,Sheffield Utd,,,Mike Dean,Match Report,
8,Sat,2006-10-14,,Liverpool,1-1,Blackburn,,,Mark Clattenburg,Match Report,
8,Sat,2006-10-14,,Wigan Athletic,1-3,Manchester Utd,,,Stephen Bennett,Match Report,
8,Sat,2006-10-14,,Arsenal,3-0,Watford,,,Howard Webb,Match Report,
8,Sat,2006-10-14,,Aston Villa,1-1,Tottenham,,,Martin Atkinson,Match Report,
8,Sun,2006-10-15,,Newcastle Utd,1-2,Bolton,,,Alan Wiley,Match Report,
8,Mon,2006-10-16,,Fulham,2-1,Charlton Ath,,,Rob Styles,Match Report,
9,Sat,2006-10-21,,Aston Villa,1-1,Fulham,,,Chris Foy,Match Report,
9,Sat,2006-10-21,,Charlton Ath,0-0,Watford,,,Lee Mason,Match Report,
9,Sat,2006-10-21,,Wigan Athletic,4-0,Manchester City,,,Phil Dowd,Match Report,
9,Sat,2006-10-21,,Everton,2-0,Sheffield Utd,,,Dermot Gallagher,Match Report,
9,Sat,2006-10-21,,Chelsea,2-1,Portsmouth,,,Mark Clattenburg,Match Report,
9,Sun,2006-10-22,,Manchester Utd,2-0,Liverpool,,,Graham Poll,Match Report,
9,Sun,2006-10-22,,Middlesbrough,1-0,Newcastle Utd,,,Martin Atkinson,Match Report,
9,Sun,2006-10-22,,Tottenham,1-0,West Ham,,,Stephen Bennett,Match Report,
9,Sun,2006-10-22,,Blackburn,0-1,Bolton,,,Mike Dean,Match Report,
9,Sun,2006-10-22,,Reading,0-4,Arsenal,,,Alan Wiley,Match Report,
10,Sat,2006-10-28,,Portsmouth,3-1,Reading,,,Phil Dowd,Match Report,
10,Sat,2006-10-28,,Sheffield Utd,0-2,Chelsea,,,Martin Atkinson,Match Report,
10,Sat,2006-10-28,,Bolton,0-4,Manchester Utd,,,Rob Styles,Match Report,
10,Sat,2006-10-28,,Fulham,0-1,Wigan Athletic,,,Graham Poll,Match Report,
10,Sat,2006-10-28,,Newcastle Utd,0-0,Charlton Ath,,,Mike Dean,Match Report,
10,Sat,2006-10-28,,Watford,0-0,Tottenham,,,Uriah Rennie,Match Report,
10,Sat,2006-10-28,,Liverpool,3-1,Aston Villa,,,Stephen Bennett,Match Report,
10,Sat,2006-10-28,,Arsenal,1-1,Everton,,,Mike Riley,Match Report,
10,Sun,2006-10-29,,West Ham,2-1,Blackburn,,,Alan Wiley,Match Report,
10,Mon,2006-10-30,,Manchester City,1-0,Middlesbrough,,,Howard Webb,Match Report,
11,Sat,2006-11-04,,Watford,2-0,Middlesbrough,,,Dermot Gallagher,Match Report,
11,Sat,2006-11-04,,Manchester Utd,3-0,Portsmouth,,,Mike Dean,Match Report,
11,Sat,2006-11-04,,Newcastle Utd,0-1,Sheffield Utd,,,Stephen Bennett,Match Report,
11,Sat,2006-11-04,,Bolton,0-1,Wigan Athletic,,,Mark Clattenburg,Match Report,
11,Sat,2006-11-04,,Charlton Ath,1-0,Manchester City,,,Chris Foy,Match Report,
11,Sat,2006-11-04,,Fulham,1-0,Everton,,,Martin Atkinson,Match Report,
11,Sat,2006-11-04,,Liverpool,2-0,Reading,,,Uriah Rennie,Match Report,
11,Sun,2006-11-05,,Tottenham,2-1,Chelsea,,,Graham Poll,Match Report,
11,Sun,2006-11-05,,West Ham,1-0,Arsenal,,,Rob Styles,Match Report,
11,Sun,2006-11-05,,Aston Villa,2-0,Blackburn,,,Howard Webb,Match Report,
12,Sat,2006-11-11,,Portsmouth,1-1,Fulham,,,Stephen Bennett,Match Report,
12,Sat,2006-11-11,,Middlesbrough,1-0,West Ham,,,Mark Halsey,Match Report,
12,Sat,2006-11-11,,Everton,0-1,Aston Villa,,,Phil Dowd,Match Report,
12,Sat,2006-11-11,,Chelsea,4-0,Watford,,,Howard Webb,Match Report,
12,Sat,2006-11-11,,Wigan Athletic,3-2,Charlton Ath,,,Dermot Gallagher,Match Report,
12,Sat,2006-11-11,,Manchester City,0-0,Newcastle Utd,,,Graham Poll,Match Report,
12,Sat,2006-11-11,,Sheffield Utd,2-2,Bolton,,,Alan Wiley,Match Report,
12,Sat,2006-11-11,,Blackburn,0-1,Manchester Utd,,,Mike Riley,Match Report,
12,Sun,2006-11-12,,Arsenal,3-0,Liverpool,,,Mark Clattenburg,Match Report,
12,Sun,2006-11-12,,Reading,3-1,Tottenham,,,Rob Styles,Match Report,
13,Sat,2006-11-18,,Chelsea,1-0,West Ham,,,Mike Dean,Match Report,
13,Sat,2006-11-18,,Middlesbrough,0-0,Liverpool,,,Lee Mason,Match Report,
13,Sat,2006-11-18,,Arsenal,1-1,Newcastle Utd,,,Martin Atkinson,Match Report,
13,Sat,2006-11-18,,Reading,2-0,Charlton Ath,,,Graham Poll,Match Report,
13,Sat,2006-11-18,,Everton,1-0,Bolton,,,Uriah Rennie,Match Report,
13,Sat,2006-11-18,,Manchester City,3-1,Fulham,,,Alan Wiley,Match Report,
13,Sat,2006-11-18,,Sheffield Utd,1-2,Manchester Utd,,,Mark Clattenburg,Match Report,
13,Sat,2006-11-18,,Portsmouth,2-1,Watford,,,Chris Foy,Match Report,
13,Sun,2006-11-19,,Wigan Athletic,0-0,Aston Villa,,,Stephen Bennett,Match Report,
13,Sun,2006-11-19,,Blackburn,1-1,Tottenham,,,Phil Dowd,Match Report,
14,Sat,2006-11-25,,Charlton Ath,1-1,Everton,,,Alan Wiley,Match Report,
14,Sat,2006-11-25,,Liverpool,1-0,Manchester City,,,Rob Styles,Match Report,
14,Sat,2006-11-25,,Bolton,3-1,Arsenal,,,Mike Dean,Match Report,
14,Sat,2006-11-25,,Fulham,0-1,Reading,,,Dermot Gallagher,Match Report,
14,Sat,2006-11-25,,West Ham,1-0,Sheffield Utd,,,Mike Riley,Match Report,
14,Sat,2006-11-25,,Aston Villa,1-1,Middlesbrough,,,Peter Walton,Match Report,
14,Sun,2006-11-26,,Newcastle Utd,1-0,Portsmouth,,,Mark Halsey,Match Report,
14,Sun,2006-11-26,,Tottenham,3-1,Wigan Athletic,,,Mark Clattenburg,Match Report,
14,Sun,2006-11-26,,Manchester Utd,1-1,Chelsea,,,Howard Webb,Match Report,
15,Tue,2006-11-28,,Watford,0-1,Sheffield Utd,,,Martin Atkinson,Match Report,
15,Wed,2006-11-29,,Bolton,0-1,Chelsea,,,Stephen Bennett,Match Report,
15,Wed,2006-11-29,,Liverpool,0-0,Portsmouth,,,Alan Wiley,Match Report,
15,Wed,2006-11-29,,Manchester Utd,3-0,Everton,,,Mark Halsey,Match Report,
15,Wed,2006-11-29,,Fulham,2-1,Arsenal,,,Howard Webb,Match Report,
15,Wed,2006-11-29,,Aston Villa,1-3,Manchester City,,,Mike Dean,Match Report,
16,Sat,2006-12-02,,Portsmouth,2-2,Aston Villa,,,Uriah Rennie,Match Report,
16,Sat,2006-12-02,,Sheffield Utd,2-1,Charlton Ath,,,Phil Dowd,Match Report,
16,Sat,2006-12-02,,Wigan Athletic,0-4,Liverpool,,,Mike Riley,Match Report,
16,Sat,2006-12-02,,Blackburn,2-0,Fulham,,,Stephen Bennett,Match Report,
16,Sat,2006-12-02,,Arsenal,3-0,Tottenham,,,Graham Poll,Match Report,
16,Sat,2006-12-02,,Middlesbrough,1-2,Manchester Utd,,,Chris Foy,Match Report,
