Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2005-08-13,,Aston Villa,2-2,Bolton,,,Mike Riley,Match Report,
1,Sat,2005-08-13,,West Ham,3-1,Blackburn,,,Alan Wiley,Match Report,
1,Sat,2005-08-13,,Manchester City,0-0,West Brom,,,Chris Foy,Match Report,
1,Sat,2005-08-13,,Portsmouth,0-2,Tottenham,,,Barry Knight,Match Report,
1,Sat,2005-08-13,,Everton,0-2,Manchester Utd,,,Graham Poll,Match Report,
1,Sat,2005-08-13,,Fulham,0-0,Birmingham City,,,Rob Styles,Match Report,
1,Sat,2005-08-13,,Sunderland,1-3,Charlton Ath,,,Howard Webb,Match Report,
1,Sat,2005-08-13,,Middlesbrough,0-0,Liverpool,,,Mark Halsey,Match Report,
1,Sun,2005-08-14,,Wigan Athletic,0-1,Chelsea,,,Mark Clattenburg,Match Report,
1,Sun,2005-08-14,,Arsenal,2-0,Newcastle Utd,,,Stephen Bennett,Match Report,
2,Sat,2005-08-20,,Tottenham,2-0,Middlesbrough,,,Martin Atkinson,Match Report,
2,Sat,2005-08-20,,Newcastle Utd,0-0,West Ham,,,Dermot Gallagher,Match Report,
2,Sat,2005-08-20,,Charlton Ath,1-0,Wigan Athletic,,,Rob Styles,Match Report,
2,Sat,2005-08-20,,Liverpool,1-0,Sunderland,,,Barry Knight,Match Report,
2,Sat,2005-08-20,,West Brom,2-1,Portsmouth,,,Mike Riley,Match Report,
2,Sat,2005-08-20,,Birmingham City,1-2,Manchester City,,,Mark Clattenburg,Match Report,
2,Sat,2005-08-20,,Blackburn,2-1,Fulham,,,Howard Webb,Match Report,
2,Sat,2005-08-20,,Manchester Utd,1-0,Aston Villa,,,Phil Dowd,Match Report,
2,Sun,2005-08-21,,Bolton,0-1,Everton,,,Alan Wiley,Match Report,
2,Sun,2005-08-21,,Chelsea,1-0,Arsenal,,,Graham Poll,Match Report,
3,Tue,2005-08-23,,Birmingham City,0-3,Middlesbrough,,,Dermot Gallagher,Match Report,
3,Tue,2005-08-23,,Sunderland,1-2,Manchester City,,,Peter Walton,Match Report,
3,Tue,2005-08-23,,Portsmouth,1-1,Aston Villa,,,Graham Poll,Match Report,
3,Wed,2005-08-24,,Bolton,2-0,Newcastle Utd,,,Rob Styles,Match Report,
3,Wed,2005-08-24,,Blackburn,0-0,Tottenham,,,Dermot Gallagher,Match Report,
3,Wed,2005-08-24,,Arsenal,4-1,Fulham,,,Mark Clattenburg,Match Report,
3,Wed,2005-08-24,,Chelsea,4-0,West Brom,,,Mark Halsey,Match Report,
4,Sat,2005-08-27,,Manchester City,2-1,Portsmouth,,,Alan Wiley,Match Report,
4,Sat,2005-08-27,,West Brom,2-3,Birmingham City,,,Graham Poll,Match Report,
4,Sat,2005-08-27,,West Ham,1-2,Bolton,,,Phil Dowd,Match Report,
4,Sat,2005-08-27,,Aston Villa,1-0,Blackburn,,,Mark Clattenburg,Match Report,
4,Sat,2005-08-27,,Fulham,1-0,Everton,,,Mike Riley,Match Report,
4,Sat,2005-08-27,,Wigan Athletic,1-0,Sunderland,,,Stephen Bennett,Match Report,
4,Sat,2005-08-27,,Tottenham,0-2,Chelsea,,,Rob Styles,Match Report,
4,Sun,2005-08-28,,Newcastle Utd,0-2,Manchester Utd,,,Howard Webb,Match Report,
4,Sun,2005-08-28,,Middlesbrough,0-3,Charlton Ath,,,Mike Dean,Match Report,
5,Sat,2005-09-10,,Chelsea,2-0,Sunderland,,,Mike Dean,Match Report,
5,Sat,2005-09-10,,West Brom,1-2,Wigan Athletic,,,Mark Clattenburg,Match Report,
5,Sat,2005-09-10,,Middlesbrough,2-1,Arsenal,,,Mike Riley,Match Report,
5,Sat,2005-09-10,,Tottenham,0-0,Liverpool,,,Howard Webb,Match Report,
5,Sat,2005-09-10,,Newcastle Utd,1-1,Fulham,,,Alan Wiley,Match Report,
5,Sat,2005-09-10,,Everton,0-1,Portsmouth,,,Martin Atkinson,Match Report,
5,Sat,2005-09-10,,Manchester Utd,1-1,Manchester City,,,Stephen Bennett,Match Report,
5,Sat,2005-09-10,,Birmingham City,0-1,Charlton Ath,,,Mark Halsey,Match Report,
5,Sun,2005-09-11,,Bolton,0-0,Blackburn,,,Graham Poll,Match Report,
5,Mon,2005-09-12,,West Ham,4-0,Aston Villa,,,Rob Styles,Match Report,
6,Sat,2005-09-17,,Fulham,1-2,West Ham,,,Graham Poll,Match Report,
6,Sat,2005-09-17,,Portsmouth,1-1,Birmingham City,,,Dermot Gallagher,Match Report,
6,Sat,2005-09-17,,Charlton Ath,0-2,Chelsea,,,Howard Webb,Match Report,
6,Sat,2005-09-17,,Aston Villa,1-1,Tottenham,,,Stephen Bennett,Match Report,
6,Sat,2005-09-17,,Sunderland,1-1,West Brom,,,Richard Beeby,Match Report,
6,Sun,2005-09-18,,Wigan Athletic,1-1,Middlesbrough,,,Uriah Rennie,Match Report,
6,Sun,2005-09-18,,Blackburn,0-3,Newcastle Utd,,,Mike Riley,Match Report,
6,Sun,2005-09-18,,Liverpool,0-0,Manchester Utd,,,Rob Styles,Match Report,
6,Sun,2005-09-18,,Manchester City,0-1,Bolton,,,Mike Dean,Match Report,
6,Mon,2005-09-19,,Arsenal,2-0,Everton,,,Alan Wiley,Match Report,
7,Sat,2005-09-24,,West Brom,1-2,Charlton Ath,,,Chris Foy,Match Report,
7,Sat,2005-09-24,,West Ham,0-0,Arsenal,,,Mike Dean,Match Report,
7,Sat,2005-09-24,,Everton,0-1,Wigan Athletic,,,Rob Styles,Match Report,
7,Sat,2005-09-24,,Manchester Utd,1-2,Blackburn,,,Phil Dowd,Match Report,
7,Sat,2005-09-24,,Newcastle Utd,1-0,Manchester City,,,Graham Poll,Match Report,
7,Sat,2005-09-24,,Bolton,1-0,Portsmouth,,,Mark Clattenburg,Match Report,
7,Sat,2005-09-24,,Chelsea,2-1,Aston Villa,,,Barry Knight,Match Report,
7,Sat,2005-09-24,,Birmingham City,2-2,Liverpool,,,Stephen Bennett,Match Report,
7,Sun,2005-09-25,,Middlesbrough,0-2,Sunderland,,,Howard Webb,Match Report,
7,Mon,2005-09-26,,Tottenham,1-0,Fulham,,,Alan Wiley,Match Report,
8,Sat,2005-10-01,,Portsmouth,0-0,Newcastle Utd,,,Stephen Bennett,Match Report,
8,Sat,2005-10-01,,Charlton Ath,2-3,Tottenham,,,Phil Dowd,Match Report,
8,Sat,2005-10-01,,Fulham,2-3,Manchester Utd,,,Howard Webb,Match Report,
8,Sat,2005-10-01,,Blackburn,2-0,West Brom,,,Uriah Rennie,Match Report,
8,Sat,2005-10-01,,Sunderland,1-1,West Ham,,,Martin Atkinson,Match Report,
8,Sun,2005-10-02,,Manchester City,2-0,Everton,,,Mark Halsey,Match Report,
8,Sun,2005-10-02,,Wigan Athletic,2-1,Bolton,,,Alan Wiley,Match Report,
8,Sun,2005-10-02,,Arsenal,1-0,Birmingham City,,,Mike Riley,Match Report,
8,Sun,2005-10-02,,Liverpool,1-4,Chelsea,,,Graham Poll,Match Report,
8,Sun,2005-10-02,,Aston Villa,2-3,Middlesbrough,,,Mike Dean,Match Report,
9,Sat,2005-10-15,,Tottenham,2-0,Everton,,,Dermot Gallagher,Match Report,
9,Sat,2005-10-15,,Chelsea,5-1,Bolton,,,Rob Styles,Match Report,
9,Sat,2005-10-15,,Liverpool,1-0,Blackburn,,,Mark Halsey,Match Report,
9,Sat,2005-10-15,,West Brom,2-1,Arsenal,,,Barry Knight,Match Report,
9,Sat,2005-10-15,,Wigan Athletic,1-0,Newcastle Utd,,,Phil Dowd,Match Report,
9,Sat,2005-10-15,,Middlesbrough,1-1,Portsmouth,,,Chris Foy,Match Report,
9,Sat,2005-10-15,,Sunderland,1-3,Manchester Utd,,,Stephen Bennett,Match Report,
9,Sun,2005-10-16,,Birmingham City,0-1,Aston Villa,,,Graham Poll,Match Report,
9,Sun,2005-10-16,,Manchester City,2-1,West Ham,,,Mark Clattenburg,Match Report,
9,Mon,2005-10-17,,Charlton Ath,1-1,Fulham,,,Mike Riley,Match Report,
10,Sat,2005-10-22,,Fulham,2-0,Liverpool,,,Martin Atkinson,Match Report,
10,Sat,2005-10-22,,Manchester Utd,1-1,Tottenham,,,Uriah Rennie,Match Report,
10,Sat,2005-10-22,,Portsmouth,1-2,Charlton Ath,,,Howard Webb,Match Report,
10,Sat,2005-10-22,,Aston Villa,0-2,Wigan Athletic,,,Richard Beeby,Match Report,
10,Sat,2005-10-22,,Arsenal,1-0,Manchester City,,,Mike Riley,Match Report,
10,Sat,2005-10-22,,Blackburn,2-0,Birmingham City,,,Barry Knight,Match Report,
10,Sun,2005-10-23,,Bolton,2-0,West Brom,,,Mike Dean,Match Report,
10,Sun,2005-10-23,,Newcastle Utd,3-2,Sunderland,,,Rob Styles,Match Report,
10,Sun,2005-10-23,,West Ham,2-1,Middlesbrough,,,Stephen Bennett,Match Report,
10,Sun,2005-10-23,,Everton,1-1,Chelsea,,,Mark Clattenburg,Match Report,
11,Sat,2005-10-29,,Sunderland,1-4,Portsmouth,,,Mark Halsey,Match Report,
11,Sat,2005-10-29,,Charlton Ath,0-1,Bolton,,,Mark Clattenburg,Match Report,
11,Sat,2005-10-29,,Chelsea,4-2,Blackburn,,,Mike Riley,Match Report,
11,Sat,2005-10-29,,Birmingham City,0-1,Everton,,,Rob Styles,Match Report,
11,Sat,2005-10-29,,Middlesbrough,4-1,Manchester Utd,,,Alan Wiley,Match Report,
11,Sat,2005-10-29,,Liverpool,2-0,West Ham,,,Uriah Rennie,Match Report,
11,Sat,2005-10-29,,Wigan Athletic,1-0,Fulham,,,Barry Knight,Match Report,
11,Sat,2005-10-29,,Tottenham,1-1,Arsenal,,,Stephen Bennett,Match Report,
