Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,1995-08-19,,Southampton,3-4,Nott'ham Forest,,,Gary Willard,Match Report,
1,Sat,1995-08-19,,Newcastle Utd,3-0,Coventry City,,,Roger Dilkes,Match Report,
1,Sat,1995-08-19,,Wimbledon,3-2,Bolton,,,Keith Cooper,Match Report,
1,Sat,1995-08-19,,Liverpool,1-0,Sheffield Weds,,,Paul Durkin,Match Report,
1,Sat,1995-08-19,,West Ham,1-2,Leeds United,,,Keith Burge,Match Report,
1,Sat,1995-08-19,,Blackburn,1-0,QPR,,,Alan Wilkie,Match Report,
1,Sat,1995-08-19,,Aston Villa,3-1,Manchester Utd,,,Robbie Hart,Match Report,
1,Sat,1995-08-19,,Manchester City,1-1,Tottenham,,,Graham Poll,Match Report,
1,Sat,1995-08-19,,Chelsea,0-0,Everton,,,Mike Reed,Match Report,
1,Sun,1995-08-20,,Arsenal,1-1,Middlesbrough,,,Gerald Ashby,Match Report,
2,Mon,1995-08-21,,Leeds United,1-0,Liverpool,,,David Elleray,Match Report,
2,Tue,1995-08-22,,Bolton,1-3,Newcastle Utd,,,Keith Burge,Match Report,
2,Wed,1995-08-23,,Tottenham,0-1,Aston Villa,,,Steve Dunn,Match Report,
2,Wed,1995-08-23,,Nott'ham Forest,0-0,Chelsea,,,Jeff Winter,Match Report,
2,Wed,1995-08-23,,QPR,0-3,Wimbledon,,,Graham Poll,Match Report,
2,Wed,1995-08-23,,Sheffield Weds,2-1,Blackburn,,,Paul Danson,Match Report,
2,Wed,1995-08-23,,Manchester Utd,2-1,West Ham,,,Dermot Gallagher,Match Report,
2,Wed,1995-08-23,,Coventry City,2-1,Manchester City,,,Paul Alcock,Match Report,
2,Wed,1995-08-23,,Everton,0-2,Arsenal,,,Keith Burge,Match Report,
3,Sat,1995-08-26,,Tottenham,1-3,Liverpool,,,Keith Cooper,Match Report,
3,Sat,1995-08-26,,Manchester Utd,3-1,Wimbledon,,,Paul Durkin,Match Report,
3,Sat,1995-08-26,,Coventry City,0-0,Arsenal,,,Steve Dunn,Match Report,
3,Sat,1995-08-26,,Middlesbrough,2-0,Chelsea,,,Stephen Lodge,Match Report,
3,Sat,1995-08-26,,Everton,2-0,Southampton,,,Jeff Winter,Match Report,
3,Sat,1995-08-26,,Bolton,2-1,Blackburn,,,Keith Burge,Match Report,
3,Sat,1995-08-26,,QPR,1-0,Manchester City,,,Paul Danson,Match Report,
3,Sat,1995-08-26,,Nott'ham Forest,1-1,West Ham,,,Gerald Ashby,Match Report,
3,Sat,1995-08-26,,Leeds United,2-0,Aston Villa,,,Dermot Gallagher,Match Report,
3,Sun,1995-08-27,,Sheffield Weds,0-2,Newcastle Utd,,,Paul Alcock,Match Report,
4,Mon,1995-08-28,,Blackburn,1-2,Manchester Utd,,,David Elleray,Match Report,
4,Tue,1995-08-29,,Arsenal,1-1,Nott'ham Forest,,,Roger Dilkes,Match Report,
4,Wed,1995-08-30,,Newcastle Utd,1-0,Middlesbrough,,,Robbie Hart,Match Report,
4,Wed,1995-08-30,,Southampton,1-1,Leeds United,,,Keith Cooper,Match Report,
4,Wed,1995-08-30,,Chelsea,2-2,Coventry City,,,Gary Willard,Match Report,
4,Wed,1995-08-30,,West Ham,1-1,Tottenham,,,Mike Reed,Match Report,
