Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Wed,1995-08-30,,Manchester City,0-2,Everton,,,Stephen Lodge,Match Report,
4,Wed,1995-08-30,,Aston Villa,1-0,Bolton,,,Peter Jones,Match Report,
4,Wed,1995-08-30,,Liverpool,1-0,QPR,,,Steve Dunn,Match Report,
4,Wed,1995-08-30,,Wimbledon,2-2,Sheffield Weds,,,Alan Wilkie,Match Report,
5,Sat,1995-09-09,,Wimbledon,1-0,Liverpool,,,Keith Burge,Match Report,
5,Sat,1995-09-09,,Southampton,1-0,Newcastle Utd,,,Gerald Ashby,Match Report,
5,Sat,1995-09-09,,Everton,2-3,Manchester Utd,,,Graham Poll,Match Report,
5,Sat,1995-09-09,,Coventry City,1-1,Nott'ham Forest,,,Peter Jones,Match Report,
5,Sat,1995-09-09,,Bolton,1-1,Middlesbrough,,,Paul Danson,Match Report,
5,Sat,1995-09-09,,QPR,0-3,Sheffield Weds,,,Mike Reed,Match Report,
5,Sat,1995-09-09,,Tottenham,2-1,Leeds United,,,Paul Durkin,Match Report,
5,Sat,1995-09-09,,Blackburn,1-1,Aston Villa,,,Roger Dilkes,Match Report,
5,Sun,1995-09-10,,Manchester City,0-1,Arsenal,,,Dermot Gallagher,Match Report,
5,Mon,1995-09-11,,West Ham,1-3,Chelsea,,,Robbie Hart,Match Report,
2,Tue,1995-09-12,,Middlesbrough,0-0,Southampton,,,Peter Jones,Match Report,
6,Sat,1995-09-16,,Sheffield Weds,1-3,Tottenham,,,Dermot Gallagher,Match Report,
6,Sat,1995-09-16,,Chelsea,3-0,Southampton,,,Paul Alcock,Match Report,
6,Sat,1995-09-16,,Liverpool,3-0,Blackburn,,,Gary Willard,Match Report,
6,Sat,1995-09-16,,Leeds United,1-3,QPR,,,Stephen Lodge,Match Report,
6,Sat,1995-09-16,,Aston Villa,2-0,Wimbledon,,,David Elleray,Match Report,
6,Sat,1995-09-16,,Manchester Utd,3-0,Bolton,,,Steve Dunn,Match Report,
6,Sat,1995-09-16,,Middlesbrough,2-1,Coventry City,,,Graham Poll,Match Report,
6,Sat,1995-09-16,,Arsenal,1-0,West Ham,,,Alan Wilkie,Match Report,
6,Sat,1995-09-16,,Newcastle Utd,3-1,Manchester City,,,Jeff Winter,Match Report,
6,Sun,1995-09-17,,Nott'ham Forest,3-2,Everton,,,Martin Bodenham,Match Report,
7,Sat,1995-09-23,,Manchester City,0-1,Middlesbrough,,,Gary Willard,Match Report,
7,Sat,1995-09-23,,Sheffield Weds,0-0,Manchester Utd,,,Keith Burge,Match Report,
7,Sat,1995-09-23,,West Ham,2-1,Everton,,,Paul Durkin,Match Report,
7,Sat,1995-09-23,,Blackburn,5-1,Coventry City,,,Keith Cooper,Match Report,
7,Sat,1995-09-23,,Aston Villa,1-1,Nott'ham Forest,,,Paul Danson,Match Report,
7,Sat,1995-09-23,,Liverpool,5-2,Bolton,,,Martin Bodenham,Match Report,
7,Sat,1995-09-23,,Wimbledon,2-4,Leeds United,,,Roger Dilkes,Match Report,
7,Sat,1995-09-23,,Arsenal,4-2,Southampton,,,Robbie Hart,Match Report,
7,Sun,1995-09-24,,Newcastle Utd,2-0,Chelsea,,,Peter Jones,Match Report,
7,Mon,1995-09-25,,QPR,2-3,Tottenham,,,David Elleray,Match Report,
8,Sat,1995-09-30,,Nott'ham Forest,3-0,Manchester City,,,Mike Reed,Match Report,
8,Sat,1995-09-30,,Bolton,0-1,QPR,,,Jeff Winter,Match Report,
8,Sat,1995-09-30,,Middlesbrough,2-0,Blackburn,,,Paul Alcock,Match Report,
8,Sat,1995-09-30,,Tottenham,3-1,Wimbledon,,,Gerald Ashby,Match Report,
8,Sat,1995-09-30,,Leeds United,2-0,Sheffield Weds,,,Graham Poll,Match Report,
8,Sat,1995-09-30,,Chelsea,1-0,Arsenal,,,Martin Bodenham,Match Report,
8,Sat,1995-09-30,,Coventry City,0-3,Aston Villa,,,Alan Wilkie,Match Report,
8,Sun,1995-10-01,,Everton,1-3,Newcastle Utd,,,Keith Cooper,Match Report,
8,Sun,1995-10-01,,Manchester Utd,2-2,Liverpool,,,David Elleray,Match Report,
8,Mon,1995-10-02,,Southampton,0-0,West Ham,,,Graham Poll,Match Report,
9,Sat,1995-10-14,,Manchester Utd,1-0,Manchester City,,,Roger Dilkes,Match Report,
9,Sat,1995-10-14,,Aston Villa,0-1,Chelsea,,,Steve Dunn,Match Report,
9,Sat,1995-10-14,,QPR,2-3,Newcastle Utd,,,Paul Durkin,Match Report,
9,Sat,1995-10-14,,Leeds United,0-3,Arsenal,,,Peter Jones,Match Report,
9,Sat,1995-10-14,,Liverpool,0-0,Coventry City,,,Paul Danson,Match Report,
9,Sat,1995-10-14,,Bolton,1-1,Everton,,,Paul Alcock,Match Report,
9,Sat,1995-10-14,,Blackburn,2-1,Southampton,,,Mike Reed,Match Report,
9,Sat,1995-10-14,,Tottenham,0-1,Nott'ham Forest,,,Robbie Hart,Match Report,
9,Sun,1995-10-15,,Sheffield Weds,0-1,Middlesbrough,,,Gerald Ashby,Match Report,
9,Mon,1995-10-16,,Wimbledon,0-1,West Ham,,,Dermot Gallagher,Match Report,
10,Sat,1995-10-21,,Manchester City,0-0,Leeds United,,,Martin Bodenham,Match Report,
10,Sat,1995-10-21,,Newcastle Utd,6-1,Wimbledon,,,Graham Poll,Match Report,
10,Sat,1995-10-21,,Coventry City,0-1,Sheffield Weds,,,Jeff Winter,Match Report,
10,Sat,1995-10-21,,Arsenal,2-0,Aston Villa,,,Robbie Hart,Match Report,
10,Sat,1995-10-21,,Chelsea,1-4,Manchester Utd,,,Alan Wilkie,Match Report,
10,Sat,1995-10-21,,Middlesbrough,1-0,QPR,,,Mike Reed,Match Report,
10,Sat,1995-10-21,,West Ham,1-1,Blackburn,,,Stephen Lodge,Match Report,
10,Sat,1995-10-21,,Nott'ham Forest,3-2,Bolton,,,David Elleray,Match Report,
10,Sun,1995-10-22,,Everton,1-1,Tottenham,,,Roger Dilkes,Match Report,
10,Sun,1995-10-22,,Southampton,1-3,Liverpool,,,Dermot Gallagher,Match Report,
11,Sat,1995-10-28,,Sheffield Weds,0-1,West Ham,,,Keith Cooper,Match Report,
11,Sat,1995-10-28,,Wimbledon,1-2,Southampton,,,Jeff Winter,Match Report,
11,Sat,1995-10-28,,Manchester Utd,2-0,Middlesbrough,,,Stephen Lodge,Match Report,
11,Sat,1995-10-28,,Liverpool,6-0,Manchester City,,,Alan Wilkie,Match Report,
11,Sat,1995-10-28,,Leeds United,3-1,Coventry City,,,Gerald Ashby,Match Report,
11,Sat,1995-10-28,,Aston Villa,1-0,Everton,,,Keith Burge,Match Report,
11,Sat,1995-10-28,,QPR,1-1,Nott'ham Forest,,,Steve Dunn,Match Report,
11,Sat,1995-10-28,,Blackburn,3-0,Chelsea,,,Paul Durkin,Match Report,
11,Sun,1995-10-29,,Tottenham,1-1,Newcastle Utd,,,Martin Bodenham,Match Report,
11,Mon,1995-10-30,,Bolton,1-0,Arsenal,,,Keith Cooper,Match Report,
12,Sat,1995-11-04,,Southampton,2-0,QPR,,,Roger Dilkes,Match Report,
12,Sat,1995-11-04,,Chelsea,0-0,Sheffield Weds,,,Paul Danson,Match Report,
12,Sat,1995-11-04,,Newcastle Utd,2-1,Liverpool,,,Mike Reed,Match Report,
12,Sat,1995-11-04,,Middlesbrough,1-1,Leeds United,,,Keith Burge,Match Report,
12,Sat,1995-11-04,,West Ham,1-4,Aston Villa,,,Peter Jones,Match Report,
12,Sat,1995-11-04,,Coventry City,2-3,Tottenham,,,Jeff Winter,Match Report,
12,Sat,1995-11-04,,Manchester City,1-0,Bolton,,,Robbie Hart,Match Report,
12,Sat,1995-11-04,,Arsenal,1-0,Manchester Utd,,,Paul Durkin,Match Report,
12,Sun,1995-11-05,,Everton,1-0,Blackburn,,,Alan Wilkie,Match Report,
12,Mon,1995-11-06,,Nott'ham Forest,4-1,Wimbledon,,,Paul Alcock,Match Report,
14,Wed,1995-11-08,,Newcastle Utd,1-0,Blackburn,,,Dermot Gallagher,Match Report,
13,Sat,1995-11-18,,Sheffield Weds,1-1,Manchester City,,,Graham Poll,Match Report,
13,Sat,1995-11-18,,Blackburn,7-0,Nott'ham Forest,,,Jeff Winter,Match Report,
13,Sat,1995-11-18,,Liverpool,1-2,Everton,,,Gerald Ashby,Match Report,
13,Sat,1995-11-18,,Bolton,0-3,West Ham,,,Paul Durkin,Match Report,
13,Sat,1995-11-18,,Wimbledon,0-0,Middlesbrough,,,Keith Cooper,Match Report,
13,Sat,1995-11-18,,Leeds United,1-0,Chelsea,,,Mike Reed,Match Report,
13,Sat,1995-11-18,,Aston Villa,1-1,Newcastle Utd,,,Stephen Lodge,Match Report,
13,Sat,1995-11-18,,Manchester Utd,4-1,Southampton,,,Paul Danson,Match Report,
13,Sat,1995-11-18,,Tottenham,2-1,Arsenal,,,Alan Wilkie,Match Report,
13,Sun,1995-11-19,,QPR,1-1,Coventry City,,,Martin Bodenham,Match Report,
14,Mon,1995-11-20,,Southampton,0-1,Aston Villa,,,David Elleray,Match Report,
14,Tue,1995-11-21,,Middlesbrough,0-1,Tottenham,,,Mike Reed,Match Report,
14,Tue,1995-11-21,,Arsenal,4-2,Sheffield Weds,,,Roger Dilkes,Match Report,
14,Wed,1995-11-22,,Chelsea,3-2,Bolton,,,Graham Poll,Match Report,
14,Wed,1995-11-22,,Everton,2-0,QPR,,,Paul Danson,Match Report,
14,Wed,1995-11-22,,Coventry City,0-4,Manchester Utd,,,Keith Burge,Match Report,
14,Wed,1995-11-22,,West Ham,0-0,Liverpool,,,Jeff Winter,Match Report,
14,Wed,1995-11-22,,Manchester City,1-0,Wimbledon,,,Paul Durkin,Match Report,
15,Sat,1995-11-25,,West Ham,1-0,QPR,,,Paul Alcock,Match Report,
15,Sat,1995-11-25,,Newcastle Utd,2-1,Leeds United,,,Steve Dunn,Match Report,
15,Sat,1995-11-25,,Chelsea,0-0,Tottenham,,,Stephen Lodge,Match Report,
15,Sat,1995-11-25,,Middlesbrough,2-1,Liverpool,,,Dermot Gallagher,Match Report,
15,Sat,1995-11-25,,Southampton,1-0,Bolton,,,Peter Jones,Match Report,
15,Sat,1995-11-25,,Everton,2-2,Sheffield Weds,,,Martin Bodenham,Match Report,
15,Sat,1995-11-25,,Manchester City,1-0,Aston Villa,,,Gerald Ashby,Match Report,
15,Sat,1995-11-25,,Coventry City,3-3,Wimbledon,,,Robbie Hart,Match Report,
15,Sun,1995-11-26,,Arsenal,0-0,Blackburn,,,Graham Poll,Match Report,
15,Mon,1995-11-27,,Nott'ham Forest,1-1,Manchester Utd,,,Keith Cooper,Match Report,
16,Sat,1995-12-02,,Bolton,1-1,Nott'ham Forest,,,Roger Dilkes,Match Report,
16,Sat,1995-12-02,,Leeds United,0-1,Manchester City,,,Paul Alcock,Match Report,
16,Sat,1995-12-02,,Tottenham,0-0,Everton,,,Steve Dunn,Match Report,
16,Sat,1995-12-02,,Manchester Utd,1-1,Chelsea,,,Martin Bodenham,Match Report,
16,Sat,1995-12-02,,Aston Villa,1-1,Arsenal,,,Jeff Winter,Match Report,
16,Sat,1995-12-02,,Blackburn,4-2,West Ham,,,Keith Burge,Match Report,
16,Sat,1995-12-02,,Liverpool,1-1,Southampton,,,Robbie Hart,Match Report,
16,Sat,1995-12-02,,QPR,1-1,Middlesbrough,,,Paul Durkin,Match Report,
16,Sun,1995-12-03,,Wimbledon,3-3,Newcastle Utd,,,Gerald Ashby,Match Report,
16,Mon,1995-12-04,,Sheffield Weds,4-3,Coventry City,,,Mike Reed,Match Report,
17,Sat,1995-12-09,,Coventry City,5-0,Blackburn,,,Steve Dunn,Match Report,
17,Sat,1995-12-09,,Southampton,0-0,Arsenal,,,Paul Danson,Match Report,
17,Sat,1995-12-09,,Tottenham,1-0,QPR,,,Keith Cooper,Match Report,
17,Sat,1995-12-09,,Bolton,0-1,Liverpool,,,Martin Bodenham,Match Report,
17,Sat,1995-12-09,,Middlesbrough,4-1,Manchester City,,,Stephen Lodge,Match Report,
17,Sat,1995-12-09,,Leeds United,1-1,Wimbledon,,,Graham Poll,Match Report,
17,Sat,1995-12-09,,Chelsea,1-0,Newcastle Utd,,,Roger Dilkes,Match Report,
17,Sat,1995-12-09,,Manchester Utd,2-2,Sheffield Weds,,,Peter Jones,Match Report,
17,Sun,1995-12-10,,Nott'ham Forest,1-1,Aston Villa,,,Paul Durkin,Match Report,
17,Mon,1995-12-11,,Everton,3-0,West Ham,,,Mike Reed,Match Report,
18,Sat,1995-12-16,,West Ham,2-1,Southampton,,,Alan Wilkie,Match Report,
18,Sat,1995-12-16,,QPR,2-1,Bolton,,,Stephen Lodge,Match Report,
18,Sat,1995-12-16,,Newcastle Utd,1-0,Everton,,,Paul Durkin,Match Report,
18,Sat,1995-12-16,,Sheffield Weds,6-2,Leeds United,,,Robbie Hart,Match Report,
18,Sat,1995-12-16,,Wimbledon,0-1,Tottenham,,,David Elleray,Match Report,
18,Sat,1995-12-16,,Aston Villa,4-1,Coventry City,,,Paul Alcock,Match Report,
18,Sat,1995-12-16,,Arsenal,1-1,Chelsea,,,Gerald Ashby,Match Report,
18,Sat,1995-12-16,,Blackburn,1-0,Middlesbrough,,,Paul Danson,Match Report,
18,Sun,1995-12-17,,Liverpool,2-0,Manchester Utd,,,Graham Poll,Match Report,
18,Mon,1995-12-18,,Manchester City,1-1,Nott'ham Forest,,,Keith Burge,Match Report,
19,Sat,1995-12-23,,Sheffield Weds,2-2,Southampton,,,Jeff Winter,Match Report,
19,Sat,1995-12-23,,Tottenham,2-2,Bolton,,,Paul Danson,Match Report,
19,Sat,1995-12-23,,Liverpool,3-1,Arsenal,,,Keith Cooper,Match Report,
19,Sat,1995-12-23,,Coventry City,2-1,Everton,,,Stephen Lodge,Match Report,
19,Sat,1995-12-23,,Wimbledon,1-1,Blackburn,,,Martin Bodenham,Match Report,
19,Sat,1995-12-23,,QPR,1-0,Aston Villa,,,Alan Wilkie,Match Report,
19,Sat,1995-12-23,,Manchester City,0-1,Chelsea,,,Gary Willard,Match Report,
19,Sat,1995-12-23,,Newcastle Utd,3-1,Nott'ham Forest,,,David Elleray,Match Report,
19,Sat,1995-12-23,,Middlesbrough,4-2,West Ham,,,Steve Dunn,Match Report,
19,Sun,1995-12-24,,Leeds United,3-1,Manchester Utd,,,Dermot Gallagher,Match Report,
20,Tue,1995-12-26,,Everton,4-0,Middlesbrough,,,Peter Jones,Match Report,
20,Tue,1995-12-26,,Chelsea,1-2,Wimbledon,,,Dermot Gallagher,Match Report,
20,Tue,1995-12-26,,Nott'ham Forest,1-0,Sheffield Weds,,,Gerald Ashby,Match Report,
20,Tue,1995-12-26,,Blackburn,2-0,Manchester City,,,Keith Cooper,Match Report,
20,Tue,1995-12-26,,Southampton,0-0,Tottenham,,,Paul Durkin,Match Report,
20,Tue,1995-12-26,,Arsenal,3-0,QPR,,,Mike Reed,Match Report,
20,Wed,1995-12-27,,Manchester Utd,2-0,Newcastle Utd,,,Paul Alcock,Match Report,
20,Wed,1995-12-27,,Bolton,0-2,Leeds United,,,David Elleray,Match Report,
21,Sat,1995-12-30,,Everton,2-0,Leeds United,,,Jeff Winter,Match Report,
21,Sat,1995-12-30,,Arsenal,1-3,Wimbledon,,,Stephen Lodge,Match Report,
21,Sat,1995-12-30,,Chelsea,2-2,Liverpool,,,Keith Burge,Match Report,
21,Sat,1995-12-30,,Nott'ham Forest,1-0,Middlesbrough,,,Gary Willard,Match Report,
21,Sat,1995-12-30,,Bolton,1-2,Coventry City,,,Alan Wilkie,Match Report,
21,Sat,1995-12-30,,Manchester Utd,2-1,QPR,,,Robbie Hart,Match Report,
21,Sat,1995-12-30,,Blackburn,2-1,Tottenham,,,Peter Jones,Match Report,
22,Mon,1996-01-01,,Leeds United,0-0,Blackburn,,,Roger Dilkes,Match Report,
22,Mon,1996-01-01,,Tottenham,4-1,Manchester Utd,,,Gerald Ashby,Match Report,
22,Mon,1996-01-01,,Manchester City,2-1,West Ham,,,Mike Reed,Match Report,
22,Mon,1996-01-01,,Coventry City,1-1,Southampton,,,Keith Cooper,Match Report,
22,Mon,1996-01-01,,Middlesbrough,0-2,Aston Villa,,,Martin Bodenham,Match Report,
22,Mon,1996-01-01,,Wimbledon,2-3,Everton,,,Alan Wilkie,Match Report,
22,Mon,1996-01-01,,Sheffield Weds,4-2,Bolton,,,Paul Durkin,Match Report,
22,Mon,1996-01-01,,Liverpool,4-2,Nott'ham Forest,,,Paul Alcock,Match Report,
22,Tue,1996-01-02,,Newcastle Utd,2-0,Arsenal,,,Dermot Gallagher,Match Report,
22,Tue,1996-01-02,,QPR,1-2,Chelsea,,,David Elleray,Match Report,
23,Sat,1996-01-13,,QPR,0-1,Blackburn,,,Gerald Ashby,Match Report,
23,Sat,1996-01-13,,Sheffield Weds,1-1,Liverpool,,,David Elleray,Match Report,
23,Sat,1996-01-13,,Nott'ham Forest,1-0,Southampton,,,Stephen Lodge,Match Report,
23,Sat,1996-01-13,,Leeds United,2-0,West Ham,,,Paul Danson,Match Report,
23,Sat,1996-01-13,,Bolton,1-0,Wimbledon,,,Mike Reed,Match Report,
23,Sat,1996-01-13,,Middlesbrough,2-3,Arsenal,,,Graham Poll,Match Report,
23,Sat,1996-01-13,,Everton,1-1,Chelsea,,,Robbie Hart,Match Report,
23,Sat,1996-01-13,,Tottenham,1-0,Manchester City,,,Dermot Gallagher,Match Report,
23,Sat,1996-01-13,,Manchester Utd,0-0,Aston Villa,,,Gary Willard,Match Report,
23,Sun,1996-01-14,,Coventry City,0-1,Newcastle Utd,,,Peter Jones,Match Report,
24,Sat,1996-01-20,,Chelsea,1-0,Nott'ham Forest,,,Jeff Winter,Match Report,
24,Sat,1996-01-20,,Liverpool,5-0,Leeds United,,,Paul Durkin,Match Report,
24,Sat,1996-01-20,,Blackburn,3-0,Sheffield Weds,,,Gary Willard,Match Report,
24,Sat,1996-01-20,,Arsenal,1-2,Everton,,,Martin Bodenham,Match Report,
24,Sat,1996-01-20,,Wimbledon,2-1,QPR,,,Steve Dunn,Match Report,
24,Sat,1996-01-20,,Manchester City,1-1,Coventry City,,,Robbie Hart,Match Report,
24,Sat,1996-01-20,,Newcastle Utd,2-1,Bolton,,,Keith Cooper,Match Report,
24,Sat,1996-01-20,,Southampton,2-1,Middlesbrough,,,Keith Burge,Match Report,
24,Sun,1996-01-21,,Aston Villa,2-1,Tottenham,,,Graham Poll,Match Report,
24,Mon,1996-01-22,,West Ham,0-1,Manchester Utd,,,Stephen Lodge,Match Report,
14,Wed,1996-01-31,,Nott'ham Forest,2-1,Leeds United,,,Alan Wilkie,Match Report,
20,Wed,1996-01-31,,West Ham,3-2,Coventry City,,,Graham Poll,Match Report,
20,Wed,1996-01-31,,Aston Villa,0-2,Liverpool,,,Roger Dilkes,Match Report,
21,Wed,1996-01-31,,Southampton,1-1,Manchester City,,,Steve Dunn,Match Report,
25,Sat,1996-02-03,,Liverpool,0-0,Tottenham,,,Stephen Lodge,Match Report,
25,Sat,1996-02-03,,Blackburn,3-1,Bolton,,,Paul Alcock,Match Report,
25,Sat,1996-02-03,,Southampton,2-2,Everton,,,David Elleray,Match Report,
25,Sat,1996-02-03,,Manchester City,2-0,QPR,,,Graham Poll,Match Report,
25,Sat,1996-02-03,,Wimbledon,2-4,Manchester Utd,,,Paul Durkin,Match Report,
25,Sat,1996-02-03,,Newcastle Utd,2-0,Sheffield Weds,,,Paul Danson,Match Report,
25,Sat,1996-02-03,,Aston Villa,3-0,Leeds United,,,Robbie Hart,Match Report,
25,Sat,1996-02-03,,Arsenal,1-1,Coventry City,,,Steve Dunn,Match Report,
25,Sat,1996-02-03,,West Ham,1-0,Nott'ham Forest,,,Keith Burge,Match Report,
25,Sun,1996-02-04,,Chelsea,5-0,Middlesbrough,,,Keith Cooper,Match Report,
26,Sat,1996-02-10,,Everton,2-0,Manchester City,,,Paul Alcock,Match Report,
26,Sat,1996-02-10,,Nott'ham Forest,0-1,Arsenal,,,Robbie Hart,Match Report,
26,Sat,1996-02-10,,Middlesbrough,1-2,Newcastle Utd,,,Steve Dunn,Match Report,
26,Sat,1996-02-10,,Coventry City,1-0,Chelsea,,,Roger Dilkes,Match Report,
26,Sat,1996-02-10,,Sheffield Weds,2-1,Wimbledon,,,Martin Bodenham,Match Report,
26,Sat,1996-02-10,,Manchester Utd,1-0,Blackburn,,,Keith Burge,Match Report,
26,Sat,1996-02-10,,Bolton,0-2,Aston Villa,,,Gerald Ashby,Match Report,
26,Sun,1996-02-11,,QPR,1-2,Liverpool,,,Dermot Gallagher,Match Report,
26,Mon,1996-02-12,,Tottenham,0-1,West Ham,,,Jeff Winter,Match Report,
27,Sat,1996-02-17,,Middlesbrough,1-4,Bolton,,,Paul Danson,Match Report,
27,Sat,1996-02-17,,Chelsea,1-2,West Ham,,,Gary Willard,Match Report,
27,Sat,1996-02-17,,Sheffield Weds,1-3,QPR,,,Paul Durkin,Match Report,
21,Wed,1996-02-21,,West Ham,2-0,Newcastle Utd,,,Paul Alcock,Match Report,
27,Wed,1996-02-21,,Manchester Utd,2-0,Everton,,,Martin Bodenham,Match Report,
28,Sat,1996-02-24,,Southampton,2-3,Chelsea,,,Gerald Ashby,Match Report,
28,Sat,1996-02-24,,Everton,3-0,Nott'ham Forest,,,Keith Cooper,Match Report,
28,Sat,1996-02-24,,Tottenham,1-0,Sheffield Weds,,,Mike Reed,Match Report,
28,Sat,1996-02-24,,West Ham,0-1,Arsenal,,,David Elleray,Match Report,
28,Sat,1996-02-24,,Blackburn,2-3,Liverpool,,,Alan Wilkie,Match Report,
28,Sat,1996-02-24,,Coventry City,0-0,Middlesbrough,,,Paul Durkin,Match Report,
28,Sat,1996-02-24,,Manchester City,3-3,Newcastle Utd,,,Martin Bodenham,Match Report,
28,Sat,1996-02-24,,Wimbledon,3-3,Aston Villa,,,Jeff Winter,Match Report,
28,Sun,1996-02-25,,Bolton,0-6,Manchester Utd,,,Dermot Gallagher,Match Report,
27,Wed,1996-02-28,,Aston Villa,2-0,Blackburn,,,Stephen Lodge,Match Report,
29,Sat,1996-03-02,,Leeds United,0-1,Bolton,,,Gary Willard,Match Report,
29,Sat,1996-03-02,,Coventry City,2-2,West Ham,,,Martin Bodenham,Match Report,
29,Sat,1996-03-02,,QPR,1-1,Arsenal,,,Paul Alcock,Match Report,
29,Sat,1996-03-02,,Manchester City,1-1,Blackburn,,,Paul Danson,Match Report,
29,Sat,1996-03-02,,Middlesbrough,0-2,Everton,,,Dermot Gallagher,Match Report,
29,Sat,1996-03-02,,Wimbledon,1-1,Chelsea,,,Peter Jones,Match Report,
29,Sat,1996-03-02,,Sheffield Weds,1-3,Nott'ham Forest,,,Graham Poll,Match Report,
29,Sat,1996-03-02,,Tottenham,1-0,Southampton,,,Keith Burge,Match Report,
29,Sun,1996-03-03,,Liverpool,3-0,Aston Villa,,,Keith Cooper,Match Report,
29,Mon,1996-03-04,,Newcastle Utd,0-1,Manchester Utd,,,David Elleray,Match Report,
27,Tue,1996-03-05,,Arsenal,3-1,Manchester City,,,Peter Jones,Match Report,
21,Wed,1996-03-06,,Aston Villa,3-2,Sheffield Weds,,,David Elleray,Match Report,
28,Wed,1996-03-06,,QPR,1-2,Leeds United,,,Graham Poll,Match Report,
30,Sat,1996-03-09,,Aston Villa,4-2,QPR,,,Alan Wilkie,Match Report,
30,Sat,1996-03-09,,West Ham,2-0,Middlesbrough,,,Mike Reed,Match Report,
30,Sat,1996-03-09,,Everton,2-2,Coventry City,,,Paul Danson,Match Report,
30,Tue,1996-03-12,,Chelsea,1-1,Manchester City,,,Paul Durkin,Match Report,
27,Wed,1996-03-13,,Liverpool,2-2,Wimbledon,,,Gary Willard,Match Report,
32,Wed,1996-03-13,,Blackburn,1-0,Leeds United,,,Steve Dunn,Match Report,
31,Sat,1996-03-16,,Middlesbrough,1-1,Nott'ham Forest,,,Alan Wilkie,Match Report,
31,Sat,1996-03-16,,Coventry City,0-2,Bolton,,,Keith Burge,Match Report,
31,Sat,1996-03-16,,Manchester City,2-1,Southampton,,,Jeff Winter,Match Report,
31,Sat,1996-03-16,,QPR,1-1,Manchester Utd,,,Robbie Hart,Match Report,
31,Sat,1996-03-16,,Sheffield Weds,2-0,Aston Villa,,,Peter Jones,Match Report,
31,Sat,1996-03-16,,Tottenham,2-3,Blackburn,,,Paul Durkin,Match Report,
